first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(✿◠‿◠)	61	-0.040882378816604614	1.0408823490142822	0.9951663613319397	0.4098360655737705	HP
(≧‿≦)	60	-0.03828591853380203	1.0382859706878662	0.9952019453048706	0.25	HN
(ᵔᴥᵔ)	55	-0.02726871147751808	1.0272687673568726	0.9962026476860046	0.21818181818181817	HN
(・_・)	51	-0.01607460342347622	1.0160746574401855	0.9961438775062561	0.1568627450980392	HN
(╯°□°)	41	-0.028124501928687096	1.028124451637268	0.9967196583747864	0.2926829268292683	HN
(・̀‿・́)	41	-0.02228814736008644	1.022288203239441	0.9952384233474731	0.0	HN
(´ω`)	36	-0.018213391304016113	1.0182133913040161	0.996275782585144	0.05555555555555555	HN
(＾‿＾)	34	-0.033662740141153336	1.0336627960205078	0.9957644939422607	0.058823529411764705	NB
(˘³˘)	29	-0.014484611339867115	1.0144846439361572	0.9963027834892273	0.0	LN
(ﾟдﾟ)	29	-0.026353441178798676	1.0263534784317017	0.9965268969535828	0.0	HN
(◕‿◕✿)	29	-0.03308730572462082	1.0330872535705566	0.9943549633026123	0.0	NB
(╥﹏╥)	26	-0.013470667414367199	1.0134706497192383	0.9969590902328491	0.0	HN
(´艸`)	24	-0.02413301356136799	1.0241329669952393	0.9969820380210876	0.0	HN
(=^-ω-^=)	22	-0.0166142787784338	1.016614317893982	0.9963346719741821	0.0	HN
(・̀ω・́)	22	-0.019435284659266472	1.0194352865219116	0.9963090419769287	0.0	NB
(・‿・)	20	-0.030767839401960373	1.030767798423767	0.9964943528175354	0.25	NB
(⁀ᗜ⁀)	19	-0.029567347839474678	1.0295673608779907	0.9952886700630188	0.05263157894736842	HN
(╥_╥)	18	-0.026370299980044365	1.0263702869415283	0.9967641830444336	0.0	HN
(✿╹‿╹)	18	-0.02674531377851963	1.026745319366455	0.9957947134971619	0.0	NB
(^-^)	18	-0.02786966599524021	1.027869701385498	0.9964200258255005	0.05555555555555555	NB
(^_^)	16	-0.03801509737968445	1.0380151271820068	0.9957777261734009	0.0	NB
(⌒‿⌒)	12	-0.0127853499725461	1.0127853155136108	0.9959214925765991	0.0	LP
(^▽^)	12	-0.04378381371498108	1.0437837839126587	0.9954906105995178	0.0	NB
(๑˃‿˂)	11	-0.040948860347270966	1.0409488677978516	0.9964467883110046	0.0	HP
(≧▽≦)	8	-0.019959190860390663	1.0199592113494873	0.9951889514923096	0.0	HP
(ᵒ̌ᴥᵒ̌)	8	-0.016104474663734436	1.0161044597625732	0.9974300861358643	0.0	LN
(ᵔㅂᵔ)	7	-0.028518425300717354	1.0285184383392334	0.9974170327186584	0.0	HN
(=^-^=)	6	-0.0031559965573251247	1.0031559467315674	0.9956504106521606	0.0	LP
(⁄	6	-0.019223300740122795	1.0192233324050903	0.9975895285606384	0.0	LN
(>_<)	6	-0.028850650414824486	1.0288506746292114	0.9981560707092285	0.0	HN
(=^・ω・^=)	6	0.003437309991568327	0.9965627193450928	0.9954885244369507	0.0	LP
(ﾟ∀ﾟ)	6	-0.018948504701256752	1.0189485549926758	0.994025468826294	0.0	HP
(☞ﾟヮﾟ)	5	0.0006961839972063899	0.9993038177490234	0.9958299398422241	0.0	HN
(◕‿◕)	5	-0.027714353054761887	1.0277143716812134	0.9940418601036072	0.0	HP
(⊙_☉;)	5	-0.009272068738937378	1.0092720985412598	0.996162474155426	0.0	HN
(≧ω≦)	5	0.0034638941287994385	0.996536135673523	0.9949240684509277	0.0	LP
(ᵔ‿ᵔ)	5	-0.02180824987590313	1.0218082666397095	0.9961240887641907	0.0	HN
(´▽`)	5	-0.024507714435458183	1.024507761001587	0.996540904045105	0.0	HP
(ﾉ◕ヮ◕)	5	-0.03997068107128143	1.0399706363677979	0.9971083402633667	0.0	HP
