first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(≧‿≦)	106	-0.053669460117816925	1.0536694526672363	0.8910642862319946	0.839622641509434	HP
(;ω;)	82	-0.1103118285536766	1.1103118658065796	0.9480358362197876	0.7195121951219512	LN
(;´д`)	71	-0.04338310658931732	1.0433831214904785	0.9200710654258728	0.4084507042253521	HN
(ﾉ◕ヮ◕)	63	-0.1182962954044342	1.1182962656021118	0.9166790843009949	0.8095238095238095	HP
(ﾉ>ω<)	52	-0.126218780875206	1.1262187957763672	0.9263752698898315	0.9038461538461539	HP
(≧▽≦)	35	-0.07300080358982086	1.0730007886886597	0.8874340653419495	0.02857142857142857	HP
(>_<)	30	0.01300867646932602	0.9869913458824158	0.9185503721237183	0.4666666666666667	HN
(˘³˘)	30	0.067913718521595	0.9320862889289856	0.9009915590286255	0.36666666666666664	LP
(;′⌒`)	29	-0.02941744215786457	1.0294173955917358	0.9161734580993652	0.06896551724137931	HN
(´・ω・`)	27	0.07093139737844467	0.9290686249732971	0.8866473436355591	0.48148148148148145	NB
(╯°□°)	25	0.021408651024103165	0.9785913228988647	0.9109734296798706	0.92	HN
(｡・́︿・̀｡)	22	-0.03724874556064606	1.0372487306594849	0.9277691841125488	0.0	LN
(´｡・‿・｡`)	21	0.0443597286939621	0.9556402564048767	0.9069077968597412	0.047619047619047616	LP
(╥﹏╥)	18	0.019070930778980255	0.9809290766716003	0.9125443696975708	0.16666666666666666	HN
(´▽`ʃ♡ƪ)	16	0.046369172632694244	0.953630805015564	0.909633457660675	0.25	NB
(◕‿◕✿)	16	0.05296964570879936	0.9470303654670715	0.8894304037094116	0.1875	LP
(╥_╥)	13	0.020711243152618408	0.9792887568473816	0.9127368927001953	0.0	HN
(;;)	11	-0.10744816064834595	1.1074481010437012	0.9528346061706543	0.0	LN
(=^・ω・^=)	10	0.012773786671459675	0.9872261881828308	0.9833406209945679	0.8	LP
(◕‿◕)	9	0.08324971795082092	0.9167503118515015	0.8914660215377808	0.0	NB
(¬_¬)	9	0.06427229940891266	0.9357277154922485	0.9317507743835449	0.2222222222222222	NB
(˃̤́꒳˂̤̀)	8	0.008901868015527725	0.9910981059074402	0.9169513583183289	0.0	LP
(・̀‿・́)	8	0.08716566115617752	0.9128343462944031	0.8920503854751587	0.25	NB
(✿◠‿◠)	6	0.056939247995615005	0.9430607557296753	0.9114789962768555	0.0	LP
(｡♥‿♥｡)	6	-0.09237688034772873	1.0923768281936646	0.951354444026947	0.0	LP
(>﹏<)	6	0.006477465387433767	0.9935225248336792	0.9250369668006897	0.0	HN
(⊙_⊙;)	5	0.008613371290266514	0.9913866519927979	0.9889143109321594	0.8	HN
(￣▽￣)	5	0.07710733264684677	0.922892689704895	0.925711452960968	0.0	NB
