	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21
L27	0.14015026	0.18838163	0.3201516	0.39909905	0.4720888	0.4774345	0.5514603	0.5953704	0.64848346	0.7016589	0.69865197	0.6822651	0.68510807	0.6966373	0.6744455	0.622957	0.62932646	0.55040604	0.52181214	0.4642741
L28	0.143315	0.1909663	0.32136425	0.4044201	0.4780284	0.47938526	0.5590259	0.6196384	0.67069185	0.7187858	0.70938224	0.6877614	0.6954065	0.7049878	0.6791756	0.6290908	0.6369309	0.561545	0.5351765	0.48726878
L29	0.14676745	0.19594333	0.33171955	0.41646686	0.49304596	0.49269828	0.57225364	0.63134485	0.683172	0.73466116	0.730869	0.7073925	0.71674806	0.7255978	0.70438176	0.64542615	0.65533525	0.5768994	0.5512658	0.4981801
L30	0.14420483	0.19254892	0.32677454	0.41352904	0.49103484	0.48667538	0.56678003	0.6223498	0.67771053	0.72690624	0.72461796	0.700653	0.7137109	0.7250383	0.71120614	0.65114963	0.6639398	0.5894219	0.56848264	0.5152195
L31	0.13627462	0.18184261	0.30852613	0.3927462	0.46836966	0.4627149	0.53871816	0.5844509	0.6421742	0.69378096	0.6984168	0.6822887	0.697864	0.7112482	0.7049119	0.64493334	0.6608269	0.5903788	0.57447153	0.52118766
L32	0.1313764	0.17605643	0.2957033	0.38082206	0.45377532	0.4508991	0.52389455	0.55259657	0.611943	0.6614489	0.6729063	0.6602392	0.6783013	0.6940661	0.6991196	0.64102566	0.6608542	0.598991	0.5908995	0.5344011
L33	0.12993124	0.17383906	0.28988773	0.37341857	0.44426468	0.44137934	0.5124972	0.5354414	0.59499764	0.6443606	0.65813774	0.6483087	0.6667941	0.6834126	0.69409865	0.63626665	0.6573331	0.59900594	0.5933895	0.5335476
L34	0.12452997	0.1677737	0.2768911	0.359851	0.42764828	0.4282554	0.4955709	0.50056714	0.5584692	0.6078591	0.6290566	0.6230765	0.64221674	0.6595925	0.6772817	0.62332654	0.64663374	0.5945881	0.59507096	0.53635716
L35	0.1293574	0.1724542	0.28167748	0.36386415	0.4325407	0.4343426	0.50194365	0.50529325	0.5635789	0.61339885	0.6321595	0.6272507	0.64625233	0.6628084	0.6781249	0.6283046	0.6507106	0.5998457	0.59997785	0.53955376
L36	0.1307335	0.17308073	0.2828662	0.36512318	0.43370986	0.43503335	0.50229734	0.5042029	0.5651485	0.61504173	0.63227123	0.6279512	0.64778394	0.6656025	0.681714	0.6313145	0.65259564	0.60017735	0.5987962	0.53588307
L37	0.13298325	0.17550752	0.2855363	0.36657134	0.43340158	0.4360238	0.5030998	0.49677584	0.559345	0.6091042	0.62760246	0.6258075	0.6446474	0.6630987	0.68057984	0.6331822	0.65514135	0.6043834	0.6036018	0.53667796
L38	0.12867476	0.17006372	0.27846256	0.35630438	0.42276216	0.42482942	0.4912728	0.4837435	0.54624397	0.59268165	0.61049134	0.6100689	0.6313426	0.64793646	0.6651186	0.6182639	0.641568	0.593941	0.595259	0.5285918
L39	0.13269518	0.17711045	0.2818537	0.36062193	0.42230213	0.43297455	0.4993218	0.47421983	0.5385658	0.58081996	0.59994954	0.5980594	0.6200621	0.63399285	0.64613473	0.61320704	0.6395368	0.60748684	0.6177102	0.5515643
L40	0.12662135	0.17028262	0.2779407	0.35329527	0.41636693	0.42344978	0.4908667	0.48609975	0.5488042	0.57872164	0.5900046	0.5772941	0.6073338	0.61485106	0.6220575	0.589123	0.61804014	0.59152436	0.60712695	0.5413632
L41	0.12784158	0.17214923	0.27735972	0.35212564	0.41371346	0.42436677	0.4911433	0.4826653	0.5455205	0.5720234	0.5802179	0.5649609	0.5953883	0.6018933	0.60559046	0.57885915	0.6071297	0.5865523	0.6040589	0.54039806
L42	0.12736097	0.17162775	0.27704787	0.35344467	0.41399345	0.42489815	0.49275562	0.48051786	0.5453465	0.56831163	0.5763055	0.55690885	0.58841586	0.59397453	0.5986629	0.57221264	0.60209024	0.5860013	0.6076294	0.54285896
L43	0.12500905	0.16889037	0.27289608	0.348212	0.40853584	0.41971385	0.4870079	0.47345254	0.53667325	0.55826944	0.5671315	0.5473439	0.5793779	0.5836695	0.58845	0.56311506	0.59358704	0.57983845	0.60337937	0.5409848
L44	0.12170999	0.16644363	0.2658065	0.34250465	0.40017384	0.4140152	0.48095012	0.46156913	0.52070194	0.53870106	0.55022335	0.5294538	0.56086797	0.56339985	0.5700515	0.54916954	0.5818102	0.57604957	0.60476494	0.5448679
L45	0.11938583	0.16286972	0.2620768	0.33833492	0.39455006	0.40728498	0.4743587	0.46221918	0.52167374	0.53864807	0.5465218	0.5240303	0.55614734	0.55746406	0.56143844	0.5402332	0.57230115	0.565863	0.5940643	0.5345656
L46	0.11771232	0.16072367	0.25806227	0.33364907	0.38863623	0.40194625	0.46850827	0.45402345	0.51246595	0.5317843	0.53930664	0.5186909	0.548518	0.5504431	0.5540831	0.53527105	0.5668605	0.5609468	0.5890775	0.5321275
L47	0.11375361	0.1541457	0.24991263	0.3229701	0.3786177	0.39042917	0.45807943	0.4471743	0.5067334	0.52355283	0.5309581	0.50799733	0.54051685	0.54245454	0.54811704	0.5263	0.5585634	0.5529924	0.582961	0.5254095
L48	0.11416238	0.15625982	0.25056922	0.32550332	0.38018802	0.39528462	0.4625988	0.44001722	0.49940473	0.5147901	0.5262634	0.5042147	0.5353993	0.53716725	0.5463999	0.52746016	0.5615421	0.5602445	0.5933377	0.5331458
L49	0.113021426	0.156266	0.24948192	0.32479462	0.37801597	0.39594176	0.46164885	0.43184474	0.49061564	0.5051165	0.51909846	0.49755028	0.5282601	0.5294847	0.54036	0.5236373	0.5581982	0.55883396	0.5935256	0.53132266
L50	0.11370008	0.15744185	0.25080013	0.3259343	0.37903184	0.39684215	0.46206614	0.43385163	0.4925214	0.5052549	0.51782125	0.495755	0.5274717	0.5275444	0.5363797	0.5199871	0.5540255	0.5547681	0.58890676	0.5269444
L51	0.1096802	0.15151036	0.24498338	0.31644946	0.37012511	0.38412836	0.44922477	0.42682797	0.48520595	0.49892923	0.5128888	0.4910767	0.5242808	0.52501756	0.53701484	0.51621467	0.5518015	0.5505106	0.5850377	0.5233945
L52	0.10957896	0.15169719	0.24592346	0.31789917	0.3718191	0.38640526	0.4518754	0.4287149	0.48782915	0.5039466	0.51914096	0.49725437	0.5293022	0.5318864	0.5451859	0.5237516	0.5592767	0.556315	0.59000283	0.5269685
L53	0.10911193	0.15083626	0.24559052	0.31723055	0.3719133	0.38603693	0.4513183	0.43128902	0.4903024	0.506422	0.5209209	0.4985786	0.53139067	0.5340418	0.5466525	0.5235679	0.5588331	0.5544546	0.5874337	0.5252632
L54	0.11295151	0.15508613	0.24833415	0.32134598	0.3752238	0.39170375	0.457691	0.43001723	0.49002936	0.5079693	0.5219504	0.49973363	0.53116596	0.5355727	0.54670244	0.52790207	0.56316835	0.5627702	0.59717107	0.54094666
L55	0.11316995	0.1560032	0.24853413	0.32216159	0.37558478	0.39376	0.4601089	0.4239671	0.4850505	0.50313175	0.5201485	0.49847743	0.52913266	0.5344927	0.54814476	0.53111356	0.5671952	0.5692354	0.60539556	0.54733366
L56	0.11278493	0.15587778	0.24771784	0.32149982	0.37415645	0.3929809	0.45900282	0.41875523	0.4797842	0.49438572	0.51162374	0.48864678	0.52034134	0.52503014	0.53982216	0.5243771	0.561281	0.56670743	0.60497904	0.5465393
L57	0.11292406	0.15565908	0.24575749	0.31833532	0.36957663	0.38786227	0.45383343	0.41117832	0.47253454	0.48733285	0.50492865	0.48218617	0.5138795	0.5189985	0.5335925	0.5202619	0.5575077	0.5649546	0.60378546	0.5479229
