	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L33	0.15241838	0.15626419	0.15804227	0.157698	0.15792118	0.15810636	0.15798046	0.16772865	0.17103374	0.17631681	0.31148142	0.32417622	0.38017413	0.4362475	0.47723058	0.47269833	0.48384866	0.49403885	0.49208075	0.51814425	0.57264924	0.6306997	0.65658486	0.6993981	0.70416194	0.7023992	0.71561414	0.72240007	0.7322166	0.736336	0.72704625	0.7451333	0.72894377	0.71751344	0.7199695	0.7353285	0.7354146	0.7365171	0.7542776	0.757704	0.7244077	0.75976056	0.75723433	0.76192224	0.7950117	0.8205541	0.82482547	0.8123069	0.8070069	0.81140274	0.8075279	0.80912554	0.7687084	0.7888523	0.74746966	0.7321442	0.75402516	0.76794755	0.7422591	0.7294077
L34	0.15084395	0.15435113	0.15587251	0.15546726	0.15567625	0.15584323	0.1556369	0.16541994	0.16883405	0.17479458	0.30811748	0.32128996	0.37839904	0.43444976	0.4753689	0.47107667	0.48197636	0.49488053	0.49301565	0.5196421	0.57214385	0.6267187	0.65023273	0.6888431	0.69286126	0.690389	0.7004604	0.7056088	0.7137154	0.717387	0.70643675	0.7259929	0.7136871	0.70376635	0.70600075	0.7199113	0.71782726	0.7190401	0.73810023	0.7433554	0.7138956	0.75465924	0.75449306	0.76147115	0.8024766	0.83621603	0.8413439	0.8366871	0.8329222	0.84032786	0.8385002	0.83833563	0.8016231	0.8200205	0.78562486	0.77148145	0.79131705	0.80292076	0.7786436	0.7688309
L35	0.15646543	0.16022857	0.16127422	0.16084833	0.16104893	0.16120413	0.16093427	0.17086262	0.17409325	0.17979069	0.3129181	0.3263694	0.38445988	0.44095647	0.48240682	0.47815982	0.48897249	0.50292933	0.5014728	0.52884007	0.5814045	0.6352294	0.658076	0.6957226	0.6994776	0.69632024	0.7046093	0.7092956	0.71701413	0.7198181	0.7081647	0.7304752	0.71914005	0.7090036	0.71138877	0.72398686	0.7218186	0.723423	0.7423313	0.7470268	0.7172512	0.75937086	0.7605522	0.7687763	0.8095718	0.84165984	0.84693575	0.8440015	0.84034806	0.84682035	0.84466726	0.84511036	0.8116009	0.82863444	0.7959755	0.7825229	0.80075806	0.81091344	0.7885557	0.77833146
L36	0.1573834	0.16120447	0.16230822	0.16187583	0.1620913	0.16225721	0.16212513	0.17191947	0.17523351	0.18093559	0.31680146	0.33080077	0.3905547	0.44823363	0.4908459	0.48626462	0.49701956	0.5124735	0.51098084	0.5390907	0.591356	0.6446976	0.66742647	0.7058436	0.7091837	0.70593923	0.71417105	0.7193726	0.72675735	0.7282646	0.71599954	0.7390128	0.72780967	0.7171254	0.7196704	0.7310029	0.7286524	0.7299862	0.74885195	0.75388664	0.72497714	0.7676548	0.7686015	0.77637535	0.81653905	0.84726995	0.852779	0.8501211	0.84714323	0.85240537	0.8498611	0.85116833	0.8189503	0.83490616	0.80196047	0.78889716	0.80583143	0.81575316	0.7945584	0.783233
L37	0.16504067	0.16859987	0.17000009	0.16939117	0.16955656	0.16969064	0.1693671	0.17883866	0.18167353	0.18730403	0.32177383	0.3371939	0.39985648	0.4583078	0.5014185	0.49659356	0.5073642	0.5270599	0.526195	0.55528724	0.6070419	0.65599835	0.6766227	0.7122593	0.7143963	0.7115352	0.72005904	0.72278196	0.72768295	0.728362	0.71369654	0.7387323	0.7288514	0.7173684	0.72002846	0.7300401	0.72413516	0.7243711	0.7437246	0.74857295	0.7217822	0.7676439	0.7692832	0.7789359	0.8236479	0.8571228	0.86319923	0.86609834	0.8647444	0.8697021	0.8679908	0.8693192	0.84203804	0.85421544	0.827322	0.8149382	0.8289659	0.8359978	0.81736356	0.80657727
L38	0.16224362	0.16541673	0.16695318	0.16635554	0.16651118	0.16663915	0.16609232	0.17556454	0.17846523	0.18432659	0.3127007	0.32828543	0.38979894	0.44720358	0.48946053	0.48486033	0.49611166	0.5169241	0.5164354	0.54587996	0.5974791	0.64282274	0.66059	0.6917883	0.6937506	0.6911436	0.6994304	0.7015468	0.7066815	0.7083161	0.69334006	0.7173356	0.70628124	0.6946379	0.6964237	0.7057884	0.69960016	0.70000035	0.7212102	0.72726434	0.7021885	0.75009966	0.7519821	0.76134	0.81090856	0.85070735	0.8563964	0.86495334	0.8648129	0.87337136	0.8740092	0.8724715	0.8469512	0.8587012	0.8367548	0.82486266	0.8387303	0.84668726	0.82735366	0.8209527
L39	0.177222	0.17978038	0.1815335	0.18065464	0.1807604	0.1808363	0.18019147	0.18941952	0.19276312	0.19921046	0.32752618	0.34579635	0.41128945	0.47052133	0.51560706	0.51140577	0.52233243	0.5516176	0.5513296	0.5822128	0.63115716	0.6678396	0.6798484	0.6999745	0.69861084	0.6970454	0.69868064	0.6954621	0.69482887	0.69316196	0.67278415	0.7000164	0.6922307	0.67981154	0.67985433	0.6821466	0.6695136	0.6683821	0.69190556	0.6989064	0.6838567	0.7399518	0.7448004	0.7573352	0.8162299	0.86115986	0.8667788	0.89142644	0.8927429	0.9017834	0.9038326	0.9016316	0.890749	0.8995301	0.8900051	0.8822563	0.8916186	0.8942585	0.8827847	0.8773822
L40	0.17030801	0.17234364	0.17376617	0.1729801	0.17305839	0.17313023	0.17222264	0.18121958	0.18490522	0.19175613	0.30909687	0.32712892	0.3897496	0.4459103	0.48795035	0.48417342	0.49520507	0.5251148	0.5247489	0.5546599	0.60210586	0.6331351	0.64177746	0.6557374	0.6534176	0.652031	0.65224725	0.6486196	0.6485344	0.649375	0.629802	0.65473706	0.64431995	0.63274384	0.63186264	0.63324195	0.6200336	0.61866635	0.64466393	0.65349656	0.6410261	0.6993314	0.70409596	0.7158415	0.78110284	0.83523256	0.84106165	0.8723192	0.87515426	0.88948894	0.8950339	0.88952273	0.88024145	0.8893515	0.88627005	0.8794111	0.88960123	0.89300776	0.8808986	0.8809097
L41	0.17804453	0.17976692	0.18120745	0.18028413	0.18035392	0.18041162	0.179567	0.18884999	0.1929138	0.19998886	0.3193751	0.33812943	0.40097633	0.45783818	0.49994385	0.49620217	0.50683886	0.5382921	0.5378034	0.56770676	0.61482066	0.64380765	0.65126693	0.6625799	0.6599934	0.6589231	0.6567692	0.65291107	0.65164113	0.65055346	0.6286815	0.6562942	0.64754707	0.6355892	0.6341929	0.6332686	0.6194205	0.6168792	0.6420154	0.650554	0.6392702	0.69783723	0.7021947	0.71382016	0.77821255	0.82932675	0.83468306	0.86763376	0.87076056	0.8826932	0.8875366	0.88231677	0.87828606	0.8864081	0.8860206	0.8806589	0.8885612	0.8912429	0.88214976	0.88160694
L42	0.18076788	0.18225507	0.18346527	0.18250813	0.18257967	0.18260717	0.18165956	0.19083321	0.19554433	0.20246294	0.32338202	0.3429794	0.40717247	0.46467942	0.5077862	0.5038512	0.51410407	0.54888356	0.54796493	0.57804537	0.6233219	0.6502352	0.6561877	0.66498244	0.66113544	0.66005945	0.6556921	0.6507346	0.64777136	0.6450388	0.6206042	0.65008056	0.64239293	0.6316405	0.6296482	0.62521106	0.60938585	0.6061812	0.6312548	0.6410332	0.6344259	0.69613093	0.70155764	0.7132618	0.77958745	0.83248574	0.8375933	0.8736367	0.8779968	0.8885054	0.89371884	0.8887285	0.88957644	0.89589226	0.90068084	0.8973087	0.9018823	0.9019653	0.8962331	0.8955926
L43	0.17647286	0.17803867	0.17893626	0.17815115	0.17823458	0.17826368	0.17714387	0.18634264	0.19115168	0.19793674	0.3147643	0.3338904	0.39625338	0.45272687	0.49506792	0.4913625	0.50188136	0.53568053	0.5346475	0.56407446	0.60893095	0.63565	0.64075595	0.64891976	0.6453109	0.6439561	0.6390565	0.63407993	0.63164103	0.62967753	0.60587716	0.6339331	0.625628	0.6156937	0.6136128	0.6093235	0.5942823	0.5917105	0.61731964	0.627499	0.62093425	0.68274736	0.6882368	0.699663	0.76639986	0.82148033	0.8263845	0.8631147	0.8668426	0.8790242	0.88488936	0.8788449	0.87861514	0.88568735	0.891117	0.88790727	0.89359903	0.8940578	0.88791424	0.88893455
L44	0.17975372	0.18096869	0.18174946	0.1808676	0.18091889	0.18091969	0.17976011	0.18870106	0.1935384	0.20070608	0.31818494	0.33743903	0.40034053	0.45738488	0.50127494	0.497507	0.50767314	0.54338485	0.5418423	0.5709412	0.61321235	0.6372087	0.6404343	0.6456115	0.6404367	0.6390065	0.63248825	0.6269834	0.6233019	0.6210074	0.5955819	0.6220389	0.61484903	0.6061668	0.60369956	0.59688395	0.5795448	0.5763061	0.6011046	0.6118545	0.60904616	0.6738619	0.68128157	0.69321215	0.76237434	0.8204108	0.82513857	0.86630124	0.8713234	0.88350654	0.8906849	0.8841324	0.8890434	0.8964296	0.9073773	0.9070416	0.9100722	0.9076642	0.9051474	0.9069911
L45	0.17185964	0.173147	0.17347492	0.17257483	0.17259763	0.1725821	0.17144474	0.18018064	0.1851531	0.1926675	0.30799484	0.32718593	0.38964516	0.44619372	0.4899311	0.48625606	0.49615407	0.5323039	0.5304155	0.5592157	0.59997606	0.623437	0.6260046	0.6302978	0.6246556	0.6228168	0.61600006	0.6104813	0.6068567	0.60504574	0.5797794	0.60641974	0.599275	0.5915777	0.58900744	0.5813062	0.56352806	0.560306	0.5850825	0.5965119	0.59467596	0.6609574	0.6689716	0.6802467	0.7509331	0.8122235	0.8172544	0.86003834	0.86585003	0.8790475	0.88750726	0.8808762	0.8864302	0.8940388	0.90622824	0.9063517	0.909351	0.906276	0.90368456	0.90622234
L46	0.16844685	0.169606	0.16997238	0.1691586	0.16918433	0.16916816	0.16791245	0.17644233	0.1813678	0.18880174	0.30282432	0.32126758	0.38179713	0.437411	0.4802246	0.47702917	0.4868784	0.52166826	0.5198219	0.54792506	0.5889211	0.6124658	0.6155966	0.6202264	0.61565596	0.61405545	0.6080343	0.6033247	0.60109144	0.598993	0.5742263	0.60040843	0.5930431	0.5850177	0.5825779	0.5752353	0.5585447	0.5555967	0.580151	0.59175664	0.58854955	0.6542962	0.66167176	0.67230064	0.74301165	0.80540234	0.81039417	0.8523106	0.8583688	0.8726963	0.8817471	0.8745239	0.8784705	0.8877765	0.89873123	0.8985143	0.9026378	0.90087783	0.89720243	0.9005909
L47	0.16240497	0.16320343	0.16350843	0.16259253	0.16259429	0.16258529	0.1613355	0.16955899	0.17455001	0.18209924	0.29254496	0.31067225	0.36999655	0.42393345	0.465791	0.4628279	0.47240093	0.5075252	0.50576895	0.5332359	0.57222027	0.59386903	0.5965012	0.5998591	0.59526676	0.59413105	0.58868796	0.5845964	0.5829054	0.58042026	0.5557406	0.5828654	0.5759217	0.56764615	0.5650453	0.55654144	0.5402503	0.5377376	0.5635841	0.57651645	0.574047	0.6409183	0.6486405	0.6584688	0.73121196	0.79601747	0.8011369	0.8430666	0.85200405	0.86675227	0.87692976	0.86908156	0.8734554	0.880973	0.8941594	0.89445525	0.896966	0.8967218	0.8918204	0.8964335
L48	0.17034143	0.17104465	0.1711125	0.17009605	0.17009205	0.17005797	0.16868454	0.17686358	0.1820217	0.18971738	0.3009265	0.32007253	0.3814519	0.43632323	0.4789892	0.4757861	0.48504394	0.52307296	0.5215103	0.5495892	0.5874517	0.6069933	0.6078159	0.60863113	0.60260713	0.6016166	0.5946973	0.58920306	0.5855846	0.5821155	0.5558722	0.58393365	0.5784186	0.5705332	0.5678029	0.5574614	0.5389764	0.53618956	0.56141543	0.5743895	0.5745889	0.6421973	0.65048754	0.6613703	0.7343799	0.79815406	0.80320704	0.8475801	0.85637814	0.8694827	0.87919784	0.87172467	0.88042945	0.8847295	0.9024657	0.90390146	0.9032455	0.8998979	0.89872444	0.90315014
L49	0.17182197	0.17258903	0.17256007	0.1715769	0.17156307	0.1715098	0.17003201	0.17813313	0.1832455	0.1907704	0.30134466	0.3208176	0.38342568	0.43845597	0.48164126	0.4783008	0.4875138	0.52686566	0.52550423	0.55418706	0.5914038	0.6098931	0.6094979	0.6096124	0.6028478	0.60168225	0.59416175	0.58724874	0.5823569	0.5788713	0.5516806	0.5794419	0.5744515	0.56679106	0.56402755	0.55365944	0.5335091	0.5306229	0.5559874	0.5685119	0.5696372	0.63797766	0.6471027	0.6589299	0.7325257	0.7958423	0.8012849	0.8473963	0.85563487	0.86811066	0.8776379	0.8707218	0.8818996	0.88404095	0.90414554	0.9055563	0.90320945	0.8974364	0.8979834	0.9019605
L50	0.17302535	0.1737914	0.17392685	0.1729613	0.1729508	0.17289272	0.17138796	0.17955798	0.18457809	0.19200538	0.30227923	0.32163033	0.38406822	0.43930227	0.48258334	0.47927275	0.4886178	0.5278447	0.5264839	0.55522573	0.59270084	0.6110283	0.6102041	0.6102025	0.60359424	0.6025536	0.59539616	0.58840793	0.58332586	0.57976526	0.5526113	0.58006924	0.5749637	0.56723	0.56439114	0.5542228	0.53389156	0.5312635	0.5567141	0.5692328	0.57025504	0.63833326	0.6473172	0.6592064	0.73274875	0.7960619	0.80135125	0.8472909	0.8553977	0.8680218	0.8775361	0.8704334	0.8813319	0.8835589	0.9035659	0.9049382	0.9028708	0.8973124	0.89763016	0.90157217
L51	0.164769	0.16536476	0.16560997	0.16474068	0.16475162	0.16473284	0.1634358	0.17192377	0.17710838	0.18488352	0.29221073	0.31104407	0.3712323	0.4240998	0.46452978	0.4614127	0.47066563	0.50722224	0.5060054	0.53415626	0.57233685	0.59100807	0.5912083	0.59082735	0.5849848	0.5837339	0.57691026	0.57130903	0.5680047	0.56630695	0.54073054	0.56685793	0.55966324	0.5509513	0.54785335	0.5390143	0.5212313	0.5193606	0.5464186	0.5598586	0.56015974	0.6277983	0.6363276	0.64732134	0.7226488	0.78979075	0.79533494	0.84100926	0.85019124	0.86629534	0.8773509	0.8685165	0.8756188	0.8791606	0.89748204	0.8978787	0.8981252	0.89632386	0.8930922	0.8993342
L52	0.16450875	0.16526747	0.16573682	0.16486934	0.16487904	0.16486168	0.16360034	0.17211404	0.17728692	0.18502048	0.29592976	0.31505236	0.3762692	0.43026486	0.47190022	0.4687529	0.47825846	0.51510495	0.5139795	0.54298604	0.5827863	0.6032236	0.60459083	0.6060839	0.6006123	0.5995984	0.59355915	0.5872633	0.5834562	0.5813172	0.556123	0.5813318	0.57366765	0.56405294	0.5609714	0.55248725	0.5342145	0.53230584	0.5600665	0.57302076	0.5731842	0.6412176	0.65015924	0.66173583	0.73679537	0.8026101	0.80845904	0.85356474	0.8621512	0.87742347	0.8875848	0.8802207	0.8860064	0.88931376	0.90443426	0.9038692	0.90496355	0.9034082	0.89996725	0.9040321
L53	0.1605854	0.16157767	0.16174854	0.16101341	0.16103715	0.16103253	0.15979947	0.16846873	0.17376903	0.18156165	0.29336718	0.3124196	0.37357438	0.42756486	0.46910754	0.46584606	0.47524813	0.5112316	0.5097005	0.5387862	0.57844394	0.60037714	0.6021714	0.6045885	0.5991533	0.59766823	0.5912778	0.5854964	0.58244747	0.5806172	0.55614614	0.5808011	0.5726933	0.56374925	0.5606251	0.5522849	0.53508884	0.53339523	0.5608706	0.5740126	0.5739857	0.6415676	0.65005124	0.6607322	0.7348909	0.80156744	0.80759656	0.8521889	0.8606041	0.87678546	0.887222	0.87994653	0.8843443	0.88884777	0.9026548	0.9021086	0.90421903	0.9035283	0.8994812	0.9040647
L54	0.16942663	0.17087966	0.1703632	0.16966577	0.16974919	0.16973871	0.1688777	0.17810215	0.18395166	0.19169913	0.31103238	0.33041453	0.392584	0.44856545	0.49219048	0.48886558	0.49805167	0.53402275	0.5316143	0.560514	0.5993483	0.62426305	0.62773985	0.6309763	0.62549067	0.6240954	0.61471736	0.60889304	0.6053406	0.6013221	0.576223	0.60326535	0.5972681	0.58881974	0.585753	0.57476276	0.55838287	0.556119	0.5822025	0.595454	0.5967065	0.6635054	0.67200863	0.68214935	0.75265163	0.8152614	0.82088387	0.8639678	0.87044996	0.88436866	0.89346176	0.8873452	0.8930123	0.89996606	0.9115407	0.91260976	0.9153937	0.91540456	0.9147657	0.9175895
L55	0.17396823	0.1753986	0.17488493	0.17410424	0.17418832	0.17416562	0.17332357	0.18262099	0.18850912	0.1963164	0.3176191	0.337788	0.40178818	0.4589393	0.5034952	0.49976134	0.50877786	0.5467687	0.54426956	0.57382923	0.6122013	0.63630503	0.63945884	0.6419615	0.6355794	0.6344132	0.6238776	0.61729294	0.61179507	0.6065897	0.58008355	0.6077355	0.60264736	0.59425426	0.59104735	0.5783841	0.56046766	0.5576774	0.58344656	0.5966153	0.5999255	0.66779494	0.67704445	0.68798417	0.7585899	0.8199796	0.8255393	0.86989933	0.87662697	0.8888413	0.89740914	0.8919924	0.9008766	0.90617055	0.9203022	0.9225845	0.9232103	0.9212575	0.92297447	0.92452115
L56	0.17595652	0.1773723	0.17671366	0.17595349	0.17605339	0.17602694	0.17527941	0.18469484	0.19071014	0.19869159	0.31895477	0.33964556	0.40463188	0.46160242	0.50607026	0.5020409	0.5107716	0.55022657	0.54752105	0.57729506	0.6139336	0.6366282	0.6384104	0.6386569	0.6307488	0.62900406	0.616331	0.6088711	0.60214365	0.5967476	0.568959	0.5966463	0.59184384	0.5842313	0.58063823	0.566461	0.5478443	0.54483306	0.57028323	0.5838136	0.59012336	0.6588717	0.66895926	0.68036085	0.75120455	0.8131827	0.8184453	0.86543924	0.87203264	0.88385385	0.89274544	0.8869735	0.89951384	0.9031788	0.92137426	0.92486876	0.9234878	0.9198202	0.9241	0.9266832
L57	0.17466472	0.17614166	0.17583399	0.17515913	0.17527106	0.17525533	0.17467743	0.18393664	0.18977337	0.19778292	0.31767243	0.33796704	0.40267488	0.46008697	0.50510025	0.5011624	0.51026464	0.5491938	0.54623014	0.57585174	0.61224973	0.63554496	0.6378405	0.63786805	0.6301248	0.62862015	0.6151447	0.60786486	0.6005871	0.5950318	0.5679155	0.5945775	0.5886229	0.5800702	0.57615423	0.56109697	0.5427106	0.53995514	0.56598043	0.57987314	0.5877768	0.6566683	0.6672209	0.6782202	0.7489318	0.8109337	0.81581855	0.8634906	0.87008226	0.882409	0.8914036	0.8855576	0.89806086	0.90302646	0.9200985	0.9242872	0.92423487	0.9216369	0.9262721	0.9290487
