	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L13	0.2342004	0.23885445	0.24633624	0.24564959	0.24577616	0.24575955	0.24686195	0.2591557	0.26035896	0.26072282	0.3983032	0.4109624	0.4696433	0.529682	0.58626306	0.58241946	0.60295284	0.6077686	0.6099138	0.63862115	0.69250953	0.7489409	0.7609449	0.78531337	0.78702176	0.7887383	0.80831516	0.80373687	0.8036229	0.7991666	0.78456175	0.7669327	0.7442891	0.7284987	0.72136956	0.7310436	0.73280823	0.7394881	0.7567787	0.74553317	0.7139397	0.7149811	0.710317	0.71680564	0.6990664	0.672702	0.6649553	0.631423	0.614754	0.5951021	0.57459044	0.58037156	0.55359036	0.5666537	0.5225123	0.51162463	0.5227202	0.52709484	0.5183268	0.5001785
L14	0.23293954	0.23749849	0.24498546	0.24426366	0.2443916	0.24437198	0.24544698	0.258087	0.2596208	0.25999194	0.3970496	0.41034418	0.46887192	0.5287148	0.58438677	0.58051544	0.6010215	0.6063148	0.6081589	0.6370874	0.69153446	0.7482244	0.76058203	0.7837403	0.78520226	0.78638226	0.80458194	0.80010605	0.79993	0.7957947	0.7816916	0.76405835	0.74079555	0.72507775	0.71802086	0.7279032	0.73048687	0.7374196	0.75470304	0.7441806	0.7137174	0.71456146	0.7097855	0.7159392	0.6977718	0.6715614	0.6635121	0.6301554	0.61337805	0.59422785	0.5737898	0.57903117	0.55204713	0.56496716	0.52118355	0.5103745	0.52127373	0.52567184	0.51685303	0.49917054
L15	0.22559704	0.23036297	0.23696312	0.23608908	0.2362067	0.23620683	0.23707151	0.24867	0.24992	0.25031307	0.38230002	0.39527383	0.45460922	0.51421326	0.5695248	0.5642761	0.58442956	0.591262	0.59382874	0.6239035	0.6781372	0.73247427	0.74493843	0.76960427	0.7712689	0.77373105	0.7970598	0.79053974	0.7908755	0.78647286	0.77280384	0.75382185	0.7333387	0.71791965	0.71142596	0.72267044	0.7228052	0.7292664	0.74483097	0.73212767	0.70060843	0.6988376	0.6934053	0.69903797	0.6806648	0.6541943	0.64636123	0.61386687	0.5981686	0.5784301	0.5585544	0.5641151	0.5376235	0.5484475	0.5063593	0.49526262	0.5045647	0.5086228	0.49968803	0.48172185
L16	0.2297828	0.2346875	0.24112375	0.24037637	0.24053194	0.24053133	0.24146378	0.25365144	0.2552587	0.2556692	0.38845888	0.40246636	0.46431524	0.5251335	0.5805683	0.5753105	0.5956046	0.60530996	0.60747916	0.638632	0.6946538	0.7486274	0.75965554	0.7817409	0.78269696	0.78429455	0.8045119	0.7982466	0.7979283	0.7945334	0.78069186	0.76219904	0.7402144	0.72504884	0.71841794	0.72959316	0.73016816	0.73611754	0.75101566	0.73926246	0.7094333	0.7087711	0.7026825	0.70801353	0.6900578	0.6646608	0.65612495	0.6253779	0.60867804	0.5895055	0.5699401	0.57446826	0.5490605	0.55914843	0.519865	0.50930065	0.5176658	0.5210491	0.5128496	0.4963352
L17	0.21592727	0.2206023	0.22513252	0.22411545	0.22423401	0.22421607	0.2251681	0.23716564	0.24106368	0.24300268	0.38129535	0.39384386	0.4542067	0.51448375	0.57079846	0.56603694	0.583934	0.58922714	0.5905393	0.6208264	0.67656714	0.73458594	0.7527082	0.78264385	0.7849466	0.78716546	0.8086685	0.805513	0.80757785	0.80311877	0.7897916	0.7717637	0.7531103	0.7398323	0.7339431	0.74314237	0.74414057	0.75052387	0.76251274	0.7516703	0.7202395	0.71967083	0.71319926	0.715609	0.698561	0.6729539	0.66606736	0.6313787	0.6158259	0.59610957	0.57607454	0.5824341	0.55377007	0.566918	0.5221051	0.5110226	0.52134544	0.5259122	0.5162784	0.49792495
L18	0.22365475	0.22827815	0.23304565	0.23207721	0.23222522	0.232206	0.23321846	0.2457814	0.2501655	0.25315285	0.3965525	0.41232556	0.4775072	0.5412221	0.5979301	0.59384847	0.611166	0.62128574	0.6219358	0.6534509	0.714569	0.7750278	0.79390657	0.8221482	0.8229932	0.823289	0.83828586	0.835988	0.8363528	0.8334297	0.8196269	0.80431366	0.78311396	0.7692218	0.7627799	0.7699556	0.7704897	0.7736731	0.7844156	0.77459925	0.7452076	0.7469868	0.7395838	0.7414883	0.727185	0.70299876	0.69590306	0.664368	0.6481693	0.6281519	0.6083824	0.6141193	0.5881718	0.6005878	0.55874205	0.54842055	0.5578804	0.56184494	0.5541218	0.5365947
L19	0.21475448	0.21864372	0.22499445	0.22395469	0.22407208	0.22400273	0.22486548	0.23692913	0.23994361	0.2420354	0.36613452	0.37969497	0.4345769	0.4915925	0.540874	0.5384771	0.55443794	0.559373	0.5600027	0.5880872	0.65105367	0.711831	0.73288876	0.7648735	0.7685553	0.765826	0.7777759	0.77482855	0.7764226	0.7772824	0.7691147	0.75575584	0.73782265	0.7272653	0.72206074	0.7345568	0.7358164	0.737968	0.7458882	0.736908	0.70356923	0.69938654	0.68994665	0.69203717	0.67848825	0.656632	0.65064335	0.6199071	0.6036608	0.5874173	0.5693486	0.5732263	0.5432221	0.55600876	0.51474875	0.5030706	0.5149662	0.5200717	0.51015794	0.49515095
L20	0.21944103	0.2228197	0.22946966	0.22810735	0.22824068	0.22824694	0.22849318	0.23998846	0.24153672	0.24258967	0.35854086	0.37030017	0.4203226	0.4755146	0.5235563	0.52053165	0.5356935	0.53944105	0.5409491	0.5679134	0.6282402	0.6895103	0.7101661	0.7432948	0.7460523	0.7422969	0.75288075	0.7487824	0.7510165	0.75335443	0.7482775	0.73695725	0.7188636	0.7088756	0.70532715	0.7160894	0.71590096	0.71714246	0.7239041	0.71489716	0.6819452	0.6770899	0.6676935	0.6687901	0.6540814	0.6319106	0.62641066	0.5957022	0.57989436	0.5633576	0.5456298	0.551199	0.52235055	0.53425336	0.49259627	0.48177505	0.4931727	0.49840453	0.4895004	0.47364306
L21	0.19780476	0.19986688	0.2076599	0.20616138	0.20625247	0.20623507	0.20629261	0.2159158	0.21619041	0.21630596	0.3249606	0.3361681	0.37937438	0.42914048	0.473746	0.47210047	0.48479754	0.48552856	0.48786426	0.5124213	0.57324404	0.6320847	0.659706	0.7003192	0.7049888	0.6987079	0.7101481	0.70884764	0.7119333	0.7158625	0.71611917	0.7118425	0.70003444	0.69009787	0.6879441	0.70060724	0.6989524	0.6965277	0.70125085	0.69250906	0.6552133	0.6512012	0.642183	0.643501	0.63625944	0.6166477	0.61332434	0.5846861	0.57210547	0.5569044	0.5410013	0.54793435	0.51757425	0.52899176	0.48349163	0.47021705	0.48300487	0.49010906	0.47892508	0.46115214
L22	0.16034345	0.16271013	0.16915134	0.1680235	0.16810499	0.16812915	0.16811454	0.17535627	0.17764968	0.17922938	0.30561042	0.3156884	0.36207017	0.4165178	0.46720257	0.46304107	0.4748063	0.47725862	0.47844622	0.50451463	0.5637395	0.6300928	0.6626151	0.7137842	0.7197462	0.7159908	0.73288965	0.735799	0.742997	0.7451757	0.74724066	0.7498331	0.73754674	0.7274454	0.72733265	0.7359408	0.7334864	0.7323267	0.7397119	0.7307097	0.69529825	0.7034149	0.6973935	0.6955523	0.6973476	0.68482554	0.6844709	0.6560557	0.64746976	0.6327558	0.61740273	0.629321	0.59637886	0.6115328	0.5578369	0.54382676	0.557854	0.56668776	0.5527449	0.5297718
