	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L16	0.38279957	0.39605206	0.40776852	0.40959486	0.43733302	0.43601552	0.4479087	0.4707065	0.50288075	0.51616913	0.5593364	0.58405566	0.60461783	0.6158394	0.64077795	0.6729768	0.6879276	0.6983655	0.68802726	0.6873626	0.6908621	0.6936649	0.69541323	0.6932122	0.69370866	0.69750804	0.7008065	0.6999844	0.69638693	0.7000602	0.70050365	0.7042897	0.70359707	0.7069277	0.70624894	0.70724696	0.7073871	0.70707476	0.7091238	0.7132491	0.71311	0.71654534	0.7191175	0.71866506	0.7173246	0.7191001	0.7216282	0.72231126	0.72257835	0.72200274	0.7209588	0.7206819	0.7213316	0.7184517	0.71915144	0.7191501	0.71898824	0.7183618	0.71682876	0.7155016
L17	0.39737806	0.41285738	0.4243906	0.42543882	0.45216224	0.45079204	0.46203882	0.48591757	0.519009	0.5330176	0.5769275	0.60115635	0.6208802	0.63156986	0.65544945	0.68639207	0.700328	0.71133167	0.700314	0.69962907	0.70298004	0.705113	0.70634115	0.7047395	0.7060608	0.71018547	0.71297354	0.7120405	0.70765847	0.7116791	0.712094	0.71594584	0.71479267	0.71837074	0.71758366	0.71851844	0.71923023	0.71848863	0.7204387	0.7245701	0.72483766	0.7282014	0.7302136	0.7294994	0.72755027	0.72971785	0.7325294	0.73324203	0.73399484	0.7341199	0.7327091	0.73263586	0.7338475	0.73126876	0.73190916	0.73194814	0.7318406	0.7323828	0.7308607	0.7292371
L18	0.40838626	0.42484978	0.43616554	0.4364585	0.4641236	0.462343	0.47347602	0.4985571	0.53385335	0.5488354	0.5948618	0.6203926	0.64118963	0.65237653	0.6772482	0.7106767	0.72530884	0.7404023	0.7294687	0.7289513	0.7321935	0.7341598	0.73602027	0.73396593	0.73579377	0.73969096	0.74205124	0.7406722	0.73525053	0.7392284	0.7390838	0.7433553	0.74158996	0.7502287	0.75039786	0.7509637	0.75142276	0.7508354	0.7523884	0.7556016	0.7549574	0.75817466	0.7593205	0.7580238	0.7555279	0.75765777	0.76036483	0.7615861	0.76230097	0.76476455	0.7642405	0.76410645	0.76524264	0.76331425	0.7640761	0.76424664	0.76373315	0.76408446	0.7624482	0.7605638
L19	0.40639764	0.42812815	0.43864313	0.43469703	0.4559961	0.45092037	0.4576071	0.4836311	0.51957726	0.53482175	0.57921886	0.6018475	0.6191715	0.6268139	0.6463781	0.6767458	0.6904195	0.7063827	0.69487625	0.69638515	0.69748574	0.6976675	0.6994112	0.698385	0.7020792	0.7052695	0.70681804	0.70488393	0.698566	0.70230347	0.70149875	0.7064253	0.7048139	0.71388066	0.7133748	0.71486443	0.7153566	0.7146214	0.71750605	0.7203006	0.7194811	0.722222	0.7219545	0.72005475	0.71659976	0.7188345	0.7218144	0.72331434	0.72449774	0.7282538	0.7282715	0.7292166	0.7301393	0.7285416	0.7296537	0.7302723	0.72962314	0.7325899	0.73117983	0.72869974
L20	0.41372466	0.4380439	0.4479849	0.44243973	0.4584099	0.45175058	0.45377788	0.4785543	0.5112324	0.52499807	0.56411994	0.5820275	0.594774	0.599195	0.61275935	0.6351778	0.64580256	0.6567133	0.64746624	0.64926785	0.6486945	0.6466878	0.6469618	0.64770114	0.6528451	0.65633243	0.6566525	0.6545055	0.64867574	0.6524501	0.65160686	0.65576446	0.65492976	0.6567543	0.65454733	0.65718824	0.65944695	0.6580499	0.6616933	0.6649708	0.6659089	0.6681882	0.6671221	0.66523385	0.6610182	0.66366893	0.66668147	0.66748554	0.6691919	0.67110395	0.66987574	0.670866	0.67241555	0.6709295	0.6715274	0.6723258	0.672223	0.6788868	0.67811203	0.6754904
L21	0.4311999	0.4560247	0.46648932	0.46344078	0.4822953	0.47750852	0.48201072	0.50782937	0.54125357	0.5563487	0.59583545	0.61368805	0.6261126	0.63112354	0.645251	0.66685355	0.6753666	0.6882295	0.6795233	0.68054193	0.68010074	0.67789716	0.6781006	0.67992884	0.6855997	0.6891767	0.6888096	0.6866278	0.68075097	0.68468463	0.68436456	0.68845826	0.6878134	0.691316	0.6884117	0.69066733	0.69342554	0.6914802	0.69480526	0.6974251	0.69860476	0.70041585	0.6988388	0.6966196	0.69170105	0.6944802	0.6973524	0.6979618	0.6988645	0.70177937	0.7002624	0.70109236	0.7032529	0.70198	0.7021886	0.70293885	0.7029693	0.7097551	0.70932806	0.7064533
L22	0.4260042	0.44415417	0.45555627	0.4559335	0.4817774	0.4801358	0.48881105	0.5154775	0.55162144	0.5693878	0.6131525	0.6355766	0.65275145	0.66263765	0.6851266	0.71566457	0.72657263	0.750401	0.7416768	0.741196	0.74287415	0.7420416	0.74373096	0.7444002	0.7486834	0.751958	0.75145644	0.749083	0.7420118	0.7462515	0.74570626	0.7507416	0.7496248	0.7679517	0.7669432	0.76790446	0.7697954	0.767972	0.768809	0.76919264	0.76793903	0.7693151	0.76666313	0.7632485	0.7581886	0.76062226	0.7625	0.76434404	0.7633579	0.77106273	0.7710077	0.77106786	0.77386725	0.77369905	0.77376693	0.7740524	0.77328104	0.7767425	0.77597195	0.7734142
L23	0.43166968	0.44809642	0.46060866	0.46495575	0.49239618	0.4938445	0.5042655	0.53024584	0.5621608	0.58039725	0.6194423	0.6382164	0.65184414	0.6608239	0.68139523	0.70412976	0.7103502	0.72791964	0.72031075	0.7174578	0.7192976	0.7178315	0.71775943	0.7212916	0.7261629	0.73010993	0.72907686	0.7271371	0.72165054	0.72615117	0.72700286	0.7309617	0.7311377	0.7413418	0.73718816	0.7382221	0.7422202	0.7388112	0.7396602	0.7413844	0.7427093	0.7436011	0.74182194	0.73879427	0.73363304	0.7364805	0.73823845	0.7384389	0.7370522	0.7420102	0.7393654	0.738587	0.7430734	0.74256474	0.74172264	0.741732	0.7421786	0.74725646	0.7473181	0.744784
L24	0.43767348	0.4501697	0.46277222	0.47110942	0.50347424	0.50890887	0.5238251	0.5491719	0.57899266	0.5972494	0.63617826	0.65564597	0.67055964	0.68148506	0.7051154	0.72606	0.73214257	0.7442651	0.73668486	0.73180073	0.7346053	0.73344547	0.73138005	0.73613507	0.7409185	0.74630183	0.7463502	0.74580413	0.74251205	0.7471533	0.749395	0.7527033	0.75340456	0.75655055	0.75171095	0.7523511	0.7565655	0.7526288	0.752373	0.75501233	0.7579431	0.7591827	0.75951934	0.7578888	0.7538043	0.75684476	0.7583893	0.7577794	0.75580937	0.75669336	0.7519451	0.7501863	0.7550651	0.75370383	0.751359	0.75063777	0.75175333	0.7557319	0.7556619	0.7533265
L25	0.429471	0.4389076	0.4518302	0.46331766	0.4995049	0.5068289	0.5245689	0.5495672	0.57840496	0.5970402	0.63533616	0.65576285	0.67195046	0.6844524	0.71091735	0.73131776	0.73713684	0.7469893	0.7377554	0.7316121	0.7352621	0.73459065	0.73115575	0.73698306	0.7412862	0.7474297	0.7482101	0.74863565	0.7468615	0.7515255	0.75456315	0.75753325	0.75817966	0.7588417	0.7529648	0.7530932	0.7573781	0.7530751	0.7522461	0.7553726	0.75899655	0.760392	0.76206005	0.7611453	0.7580016	0.76108867	0.76257026	0.7613217	0.7587473	0.75807106	0.75164765	0.7494354	0.7547179	0.7529654	0.7501522	0.7489259	0.7504514	0.753101	0.75293285	0.7506386
L26	0.43130857	0.4376139	0.45074674	0.46745753	0.50870734	0.51965266	0.54249877	0.5665327	0.5920195	0.61008775	0.6468502	0.66727513	0.6840612	0.69817793	0.726365	0.74307185	0.7485732	0.75128466	0.7430245	0.7337888	0.73829603	0.738252	0.73277456	0.73933524	0.7437142	0.7513308	0.75312936	0.7547001	0.7553897	0.7601415	0.7651875	0.76671463	0.7679355	0.75912786	0.75154036	0.7502035	0.7545497	0.75001436	0.74843967	0.7528859	0.75880593	0.76089114	0.76564056	0.7667212	0.7649545	0.767903	0.7693082	0.7665736	0.76366305	0.7584996	0.7489844	0.7451902	0.7501074	0.7471722	0.7433965	0.741669	0.7438809	0.7458706	0.74573135	0.7439102
L27	0.41217625	0.41475394	0.4289273	0.45007405	0.49557307	0.5102228	0.536844	0.55936056	0.58128524	0.59854627	0.63292956	0.6519451	0.6677706	0.6826064	0.71099484	0.7239576	0.7289336	0.7266176	0.7204251	0.70851696	0.714266	0.7145429	0.70793235	0.71563196	0.7203102	0.72776437	0.72976893	0.73226094	0.73555887	0.7400243	0.7473212	0.7471694	0.75005245	0.73378867	0.72372794	0.72192526	0.72661877	0.7217262	0.72062296	0.7258402	0.7337861	0.735913	0.74246883	0.74493337	0.7441658	0.7470184	0.747981	0.7438524	0.74006486	0.7321562	0.7202437	0.71495104	0.7201997	0.71646905	0.7120035	0.7101537	0.71295196	0.7145224	0.7143576	0.71292794
L28	0.4359262	0.44135708	0.45394468	0.47414112	0.5250249	0.5391352	0.5673012	0.5913757	0.6190579	0.6374091	0.67982274	0.70485044	0.7264092	0.7440247	0.7767208	0.799722	0.8092042	0.8132317	0.8037914	0.792692	0.7980157	0.7990875	0.79558367	0.8012551	0.8070817	0.815106	0.81827337	0.8202996	0.8212324	0.8263073	0.8327306	0.83450735	0.83487725	0.8266535	0.8190363	0.8153684	0.8174398	0.8131944	0.81121784	0.8162723	0.82201177	0.8256292	0.832344	0.83444935	0.8334808	0.8360748	0.83731705	0.83460534	0.83194995	0.82683706	0.81648433	0.8108344	0.81393284	0.8097697	0.8061212	0.80370444	0.80526704	0.8035973	0.8021184	0.80006975
L29	0.4460144	0.45355558	0.46654153	0.4856672	0.5360793	0.55063903	0.57764846	0.60078853	0.62679714	0.6448987	0.68577164	0.708259	0.72665954	0.7431104	0.7725333	0.79273874	0.7987168	0.8034803	0.79778284	0.7870094	0.7914331	0.7926891	0.7902775	0.79620034	0.80158836	0.80934864	0.81172216	0.8127213	0.8125527	0.81779796	0.823789	0.8256198	0.826217	0.8175204	0.81066674	0.8077123	0.8104668	0.80587333	0.8038747	0.80880487	0.81483823	0.81793886	0.8237645	0.82515	0.82300764	0.82540905	0.8258282	0.82237285	0.81911886	0.8149827	0.8055819	0.7994017	0.80332345	0.7993532	0.79555565	0.7935559	0.795429	0.7945242	0.7936133	0.79161584
L30	0.43866834	0.45009175	0.46124732	0.47287413	0.5175877	0.5268714	0.54923147	0.5761218	0.6084615	0.6291651	0.67324704	0.6961157	0.71357805	0.7271992	0.75394213	0.77794605	0.78560805	0.8036773	0.7961404	0.7879374	0.7907373	0.79070544	0.7920149	0.79629004	0.8028193	0.8086324	0.8094294	0.80839163	0.80362517	0.8090505	0.81296897	0.8178045	0.8179743	0.8280967	0.8232479	0.8199712	0.8211187	0.8167803	0.816089	0.8181846	0.82073677	0.822913	0.825004	0.82395566	0.81989604	0.8222425	0.8228311	0.8214262	0.8181788	0.82341635	0.81687117	0.81175816	0.81597424	0.8139286	0.8119505	0.81139696	0.81209093	0.8124997	0.811552	0.8089152
L31	0.44398257	0.45565328	0.46555546	0.47337037	0.5140693	0.51997435	0.5390441	0.5673239	0.6025149	0.6241943	0.66891134	0.6922562	0.70968914	0.7223121	0.74822485	0.7733991	0.7825162	0.8040879	0.7970924	0.7924842	0.7935369	0.7922563	0.793237	0.7971999	0.8035714	0.8088338	0.80926436	0.80721295	0.8010324	0.8065177	0.80930185	0.81558454	0.81555784	0.83017194	0.82946354	0.8277298	0.8285202	0.82403153	0.8229628	0.82391983	0.8246576	0.8254583	0.82568073	0.8237454	0.8187482	0.82140696	0.8225415	0.82216316	0.819438	0.82683104	0.82201874	0.81832653	0.8227694	0.82139874	0.81944805	0.8192344	0.8196817	0.8209365	0.8199756	0.8170699
L32	0.45292124	0.467172	0.47658655	0.4814477	0.5170315	0.5216068	0.5392316	0.5692862	0.60491025	0.6275353	0.6709667	0.69161624	0.70579964	0.71559083	0.73693085	0.75724214	0.76296484	0.7816578	0.77394587	0.7696691	0.7704259	0.7680396	0.7680343	0.7731512	0.7805523	0.78597337	0.78600293	0.7839638	0.7771569	0.7832938	0.78608555	0.7928668	0.7923889	0.80468345	0.80320597	0.80259544	0.804315	0.7993881	0.7997092	0.8009805	0.8022868	0.8030782	0.80293727	0.8007793	0.7952158	0.79852206	0.8003898	0.8003715	0.7982534	0.8049009	0.79953057	0.79671854	0.80149406	0.80027664	0.7982622	0.7984053	0.7992067	0.802867	0.80222833	0.7990848
L33	0.44881237	0.46346936	0.47259432	0.47475773	0.5080066	0.51037973	0.5264837	0.55756086	0.59585536	0.61866456	0.66437346	0.68706894	0.7026179	0.71268857	0.734723	0.7594987	0.7673154	0.7916155	0.78216416	0.77981716	0.7803126	0.77824193	0.7791644	0.7825586	0.7892433	0.7941891	0.79423803	0.79162973	0.7833646	0.78931105	0.79091644	0.79904705	0.7978142	0.8188702	0.81932807	0.81905454	0.8197889	0.8155045	0.8149817	0.8149681	0.81425035	0.8145277	0.81313705	0.8099931	0.80424356	0.8073821	0.8097026	0.81114393	0.80923367	0.81911385	0.8159813	0.8141942	0.8185609	0.8180718	0.81645495	0.8166816	0.8166545	0.8196142	0.81894654	0.8160889
L34	0.44468078	0.45649418	0.46672302	0.47088882	0.5054936	0.5096885	0.5256688	0.5554027	0.5932089	0.6149899	0.6605754	0.68478984	0.70226747	0.71498936	0.74067456	0.76853853	0.776804	0.8038757	0.7956777	0.7925331	0.7942475	0.7929709	0.7940572	0.7958556	0.8007545	0.8059491	0.8057728	0.80319047	0.79528075	0.80125594	0.80283594	0.8105022	0.8093512	0.8353243	0.8360688	0.8356108	0.83693385	0.83393055	0.83219284	0.8307883	0.8292178	0.82941824	0.8276092	0.82388526	0.81840366	0.8214941	0.8236694	0.82601136	0.82323736	0.83397806	0.8321449	0.83001536	0.83445185	0.8347792	0.8323727	0.8324669	0.8321746	0.8339971	0.83333474	0.83106846
L35	0.441873	0.45016238	0.46132046	0.46765843	0.5040082	0.50900185	0.52486366	0.5535245	0.5902137	0.6119251	0.65662766	0.68126386	0.6997296	0.7139479	0.74257445	0.77012235	0.7791533	0.8031932	0.79417115	0.7893602	0.7927013	0.79175574	0.79175425	0.79423004	0.79873866	0.80419284	0.8045212	0.80274427	0.7963835	0.80235773	0.80464274	0.8109538	0.810063	0.83235043	0.8314211	0.83095664	0.8333286	0.8305118	0.82888997	0.8284328	0.82826126	0.8290073	0.8278534	0.82453656	0.8198529	0.82341	0.8252881	0.82739574	0.82458866	0.8338627	0.8305704	0.8280412	0.83310467	0.83337355	0.8307053	0.8305543	0.83056635	0.83187085	0.83094394	0.8288488
L36	0.45906568	0.46676764	0.4768385	0.48324245	0.51933336	0.5239253	0.53860074	0.5662985	0.6019792	0.6221888	0.66539353	0.6899168	0.70869446	0.7227139	0.751036	0.775016	0.7851871	0.80075383	0.79130304	0.78622925	0.7891864	0.7875948	0.7856409	0.78834	0.7933478	0.80030185	0.8014078	0.8002033	0.79518104	0.80151796	0.80427474	0.8098309	0.8088641	0.8198642	0.8185864	0.81801295	0.820552	0.8178835	0.816558	0.818458	0.82030565	0.8220524	0.82263327	0.8205333	0.81659424	0.8206629	0.8232401	0.82484984	0.82363015	0.82779306	0.82219243	0.81952184	0.8238175	0.82338095	0.82025373	0.81959236	0.81976396	0.82272065	0.8214169	0.81919754
L37	0.4608781	0.46739307	0.47770697	0.48566183	0.5221742	0.5274076	0.54215187	0.56921864	0.60316557	0.6224554	0.6638915	0.6875986	0.706038	0.7202763	0.7484442	0.76962984	0.7791591	0.7903424	0.7811788	0.77556485	0.7781142	0.7763641	0.7729363	0.77648336	0.7814888	0.7891694	0.7904806	0.7898236	0.78590786	0.7922508	0.79534763	0.79996455	0.79918534	0.8041745	0.8022586	0.80143535	0.8042262	0.8012236	0.7996327	0.80257434	0.80605775	0.8081449	0.8098704	0.8086968	0.8055242	0.80970883	0.8122984	0.8130461	0.81180537	0.8135568	0.8064083	0.8034645	0.8076334	0.80677265	0.803168	0.8022799	0.803114	0.8066967	0.8055422	0.80345064
L38	0.4640926	0.4699321	0.4805393	0.48782575	0.52495915	0.5294556	0.5436831	0.5700094	0.6039007	0.62222815	0.66386116	0.68844295	0.7079544	0.7224752	0.7517958	0.77393126	0.7838583	0.7922398	0.78261465	0.7772191	0.7802126	0.7784913	0.77502584	0.7781866	0.7826691	0.7905733	0.7923588	0.7920911	0.78827506	0.7947756	0.79773813	0.8028583	0.80186915	0.8046781	0.80379057	0.802996	0.8060225	0.80285287	0.80100733	0.80481285	0.8084423	0.8111926	0.81369114	0.81260073	0.8099611	0.8142198	0.8169017	0.81771916	0.81787276	0.8176071	0.81053466	0.8076361	0.8114895	0.8104341	0.80734473	0.80627424	0.8069512	0.8101929	0.8089832	0.8067657
L39	0.44922918	0.45398897	0.46569264	0.47158766	0.5084766	0.51159483	0.5245718	0.5511185	0.5883817	0.60753787	0.6531075	0.68116546	0.7039375	0.72092	0.75404876	0.7862651	0.79578054	0.8200341	0.8106119	0.8063919	0.8104042	0.810137	0.80930305	0.8095234	0.8118407	0.8188478	0.8189755	0.81775707	0.8100968	0.8166012	0.81739664	0.8247149	0.8222398	0.8491606	0.8517379	0.8502508	0.85237694	0.850059	0.8451838	0.8450717	0.84454584	0.84652084	0.8452009	0.84158343	0.83765846	0.84147567	0.84374154	0.8476854	0.8464857	0.8555251	0.8541811	0.8515728	0.85635084	0.8573043	0.85481775	0.8543514	0.8541723	0.8542791	0.8536582	0.8519664
L40	0.4558337	0.4591312	0.47149664	0.47850797	0.515792	0.5196368	0.5324531	0.55761003	0.5931223	0.61144614	0.6547688	0.6809713	0.70238113	0.7187485	0.750739	0.77948695	0.7868475	0.8057199	0.79749024	0.793311	0.79765135	0.7964537	0.7943578	0.7957473	0.7982026	0.8051631	0.80534744	0.8048851	0.79817605	0.8047882	0.80607903	0.81282574	0.8108593	0.83055496	0.8337764	0.83324	0.8371709	0.83398366	0.82869005	0.82969356	0.830286	0.8319477	0.83123094	0.82775575	0.8238142	0.8278418	0.83033156	0.8335199	0.8332202	0.8393175	0.8372538	0.83491445	0.8405286	0.8412186	0.8384802	0.8376071	0.838062	0.83861583	0.8382753	0.83644617
L41	0.43023825	0.43301263	0.4453641	0.45132995	0.48688975	0.48989958	0.50051177	0.5247493	0.55938894	0.5780178	0.61980253	0.6444923	0.66440356	0.6800717	0.71183026	0.741099	0.74881846	0.7725703	0.76523364	0.76118916	0.76577854	0.76465875	0.76353925	0.7651459	0.7674145	0.77283615	0.7719408	0.77093226	0.7640078	0.77020264	0.77103585	0.777313	0.7763599	0.8022345	0.8044758	0.8047937	0.8093982	0.806405	0.8014676	0.8010822	0.80048805	0.80137753	0.79877114	0.7940686	0.78955954	0.79336226	0.7949294	0.7980492	0.7965108	0.8065836	0.80509037	0.8029963	0.8097091	0.8115992	0.8092923	0.80911285	0.8094616	0.81024885	0.81013423	0.80839884
L42	0.4219747	0.42689043	0.43818703	0.43977335	0.47115326	0.47063598	0.47912076	0.5050289	0.5427045	0.5623236	0.6054831	0.6306544	0.6503326	0.6643344	0.69477373	0.728358	0.73874444	0.7697788	0.7620765	0.76037	0.76357174	0.7617833	0.7629454	0.7631928	0.765357	0.76909536	0.76766914	0.765594	0.75701314	0.76275086	0.762256	0.7702578	0.7691677	0.80318284	0.80764085	0.8083212	0.81150186	0.8085806	0.8040046	0.802587	0.799828	0.799984	0.79586643	0.7899817	0.78464854	0.7879388	0.7896475	0.7932451	0.791943	0.8061968	0.8073851	0.80629534	0.812491	0.8149828	0.8143427	0.8149571	0.8146026	0.81580436	0.81551236	0.8135
