	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L43	0.42309278	0.42796713	0.43871823	0.4387095	0.46733472	0.4653448	0.47304532	0.4990183	0.53624785	0.5557289	0.5974619	0.6212521	0.63964146	0.6522009	0.68053365	0.7132548	0.72387874	0.75409645	0.74728686	0.74696225	0.74946064	0.74716365	0.748396	0.74827653	0.7500295	0.7531762	0.7516098	0.7492947	0.7408135	0.74629015	0.7452694	0.7536275	0.7532098	0.78561306	0.7906824	0.7923917	0.7958734	0.79310375	0.7891231	0.7879322	0.7849653	0.78469706	0.7804994	0.774444	0.76875967	0.7718113	0.7736908	0.77723646	0.7764087	0.7901732	0.7920294	0.79163235	0.7977531	0.80021745	0.7999396	0.8007342	0.80058324	0.8027929	0.80274856	0.8006817
L44	0.44037083	0.44641575	0.45702073	0.45661223	0.4835825	0.48109943	0.48827007	0.5146589	0.55227435	0.5718875	0.6133144	0.63612103	0.65345466	0.66511524	0.69157755	0.7226925	0.7323614	0.7615137	0.75484896	0.75465167	0.757021	0.75414866	0.75478506	0.75476944	0.75679785	0.760252	0.75818914	0.7557273	0.7469087	0.7525874	0.7516972	0.7601909	0.75964427	0.79069406	0.7954727	0.7973427	0.8010827	0.79822314	0.7947351	0.79372555	0.7911973	0.7908382	0.78625476	0.7801191	0.7737076	0.777089	0.77973044	0.78379375	0.7837576	0.7971661	0.79902714	0.7990642	0.80546355	0.8079409	0.8077076	0.8085291	0.8084602	0.81187624	0.8120733	0.80997115
L45	0.43212664	0.43824506	0.4484531	0.44765154	0.47543207	0.47223473	0.47895658	0.50528675	0.5437642	0.56347406	0.6058724	0.6299481	0.6485082	0.6607947	0.6884838	0.7216525	0.732746	0.7639043	0.7565963	0.7565589	0.75930506	0.75679845	0.75793266	0.7571889	0.75918686	0.7624303	0.76048744	0.7578228	0.74877524	0.7543664	0.7531825	0.76156026	0.76073885	0.7947497	0.79967135	0.8012749	0.8047587	0.80244654	0.79883957	0.7973425	0.7939725	0.79364353	0.7887447	0.7823923	0.7762692	0.7795999	0.7820615	0.78640664	0.7862249	0.80078125	0.8029675	0.80297405	0.80914634	0.8119769	0.81210417	0.81310475	0.8127067	0.81536496	0.81535536	0.8133119
L46	0.42404762	0.4292298	0.43911475	0.43818787	0.4665005	0.46301982	0.46975514	0.49552166	0.5338544	0.55348206	0.59582263	0.6202744	0.63940376	0.6519574	0.68015796	0.71390724	0.72557867	0.7570424	0.74957615	0.7498229	0.7527753	0.7503569	0.7515722	0.7507965	0.75273764	0.75569946	0.7538735	0.75123835	0.7423556	0.74782383	0.7466466	0.75494826	0.7541944	0.7886216	0.79387206	0.79568434	0.7991817	0.79706705	0.79319566	0.79158366	0.7878818	0.7873944	0.782428	0.7759548	0.7699912	0.77322537	0.77547103	0.7797756	0.7794614	0.7940401	0.7963829	0.7964558	0.80269474	0.8056785	0.8058713	0.80679095	0.8062758	0.80835867	0.80827415	0.80619437
L47	0.4270085	0.43212873	0.4417492	0.4408829	0.4696359	0.46618313	0.47313702	0.49883825	0.53730404	0.55693674	0.59949714	0.6241421	0.6434123	0.6558982	0.6838716	0.7173186	0.7294108	0.7600552	0.7522487	0.75236416	0.7554077	0.7530639	0.7541129	0.7534584	0.75586814	0.75886214	0.7571961	0.7545349	0.7458552	0.75129783	0.75021887	0.7583008	0.75748396	0.79062	0.79534745	0.7971149	0.8004017	0.7983364	0.7948129	0.7934683	0.7899159	0.78948873	0.7846651	0.7784306	0.7724642	0.7757945	0.7780775	0.782346	0.78212047	0.7964484	0.7983661	0.7984821	0.8047428	0.8076008	0.80775946	0.8086114	0.80807173	0.8102049	0.80996627	0.8079062
L48	0.4279666	0.43202084	0.44238177	0.44274494	0.47177225	0.4689468	0.4759065	0.5010252	0.5388598	0.55817175	0.59976095	0.6239985	0.6429251	0.65581036	0.6839455	0.71718764	0.7275897	0.75896376	0.7518291	0.751548	0.75508046	0.75300205	0.753955	0.7534373	0.75523543	0.75812507	0.7560054	0.7534741	0.74469614	0.7500112	0.74877495	0.75656	0.7557725	0.7896645	0.79463863	0.7962764	0.8001017	0.79782987	0.7938729	0.792248	0.7888466	0.7880259	0.7828421	0.7764007	0.7701802	0.7734257	0.77565813	0.7798826	0.7792773	0.7942197	0.79652107	0.7965163	0.80344516	0.8066247	0.8067771	0.8078067	0.80758244	0.8096738	0.8096341	0.8077098
L49	0.42521405	0.42814663	0.43804917	0.43888906	0.47002587	0.46771136	0.47577375	0.5004952	0.53878516	0.5574874	0.60031605	0.62640214	0.64714754	0.66137	0.6914126	0.72760755	0.7390056	0.7709927	0.7624255	0.7636514	0.7663958	0.7645267	0.76556516	0.7649392	0.76630366	0.76969934	0.7683328	0.76593274	0.75749123	0.76261437	0.761198	0.7692629	0.76767695	0.8017211	0.8084073	0.81027246	0.8127449	0.81009716	0.8050418	0.80389607	0.8001471	0.7994118	0.7948207	0.78882605	0.7830524	0.7862519	0.7888329	0.7929744	0.7927712	0.8078303	0.8100361	0.8106576	0.81702554	0.8198935	0.82002676	0.8204749	0.8202758	0.8207053	0.82036245	0.8185107
L50	0.43132055	0.43501952	0.4449275	0.44511628	0.4754609	0.47233373	0.48065275	0.50648147	0.54651225	0.5652658	0.6099014	0.63733554	0.6593468	0.67388725	0.70424515	0.74256414	0.7547551	0.78887844	0.7795818	0.7816073	0.7839514	0.78214383	0.7835496	0.78180754	0.7829123	0.7864426	0.7850218	0.7823533	0.77316076	0.77824813	0.7763484	0.7850327	0.7826496	0.81995404	0.8278202	0.8293015	0.83080816	0.82834184	0.82299274	0.8213816	0.8169882	0.8161892	0.81122106	0.8053683	0.7995263	0.80266124	0.80568683	0.8105064	0.81066656	0.8269874	0.83024055	0.8313411	0.83714205	0.8401747	0.84051806	0.841079	0.8407113	0.84088844	0.84065247	0.8389482
L51	0.44950902	0.4530252	0.46397996	0.4651253	0.49533632	0.49259734	0.5017016	0.52806896	0.56825316	0.58668697	0.63166684	0.6592302	0.68151873	0.69668394	0.72691727	0.7653601	0.7753075	0.8091092	0.8003664	0.80207634	0.80473125	0.80319726	0.80414945	0.8020477	0.8024423	0.8065224	0.8050168	0.80262744	0.7932471	0.79832244	0.796325	0.8051745	0.8020771	0.838936	0.8476233	0.8486988	0.85043865	0.84781384	0.84172297	0.8401673	0.83609587	0.8352574	0.8305056	0.82498074	0.8190727	0.82223815	0.8256446	0.8308192	0.83115387	0.8468024	0.8507506	0.8518394	0.8576771	0.8604656	0.8606389	0.8611231	0.86107045	0.86117655	0.8613119	0.8600416
L52	0.4517401	0.4558995	0.46758804	0.47034705	0.5013509	0.49998453	0.5104807	0.53695524	0.57642365	0.59465873	0.639448	0.6669233	0.68913037	0.7047885	0.7349902	0.77267474	0.7807356	0.81324863	0.80496806	0.8063256	0.8094209	0.8083519	0.80887014	0.80698305	0.80689615	0.8112846	0.8098762	0.8079132	0.7989488	0.8039513	0.8022337	0.8106007	0.8073178	0.8425628	0.8510233	0.85195166	0.85383356	0.85109776	0.84468555	0.8432913	0.8397895	0.83906317	0.8347712	0.8296401	0.8239472	0.82715285	0.8305726	0.83552355	0.83550304	0.8502344	0.8540816	0.85501397	0.8608846	0.86344993	0.8634223	0.8638352	0.8639962	0.86384857	0.8641087	0.863139
L53	0.4310187	0.4342982	0.44629493	0.44862616	0.47876567	0.47676814	0.48563927	0.5106597	0.5483457	0.5659193	0.6087048	0.6349627	0.6563746	0.67142475	0.7010802	0.7363547	0.7441708	0.7737611	0.7655489	0.76608413	0.77022123	0.76928014	0.7694857	0.7681264	0.7684258	0.7723992	0.7710108	0.7695479	0.76147115	0.76652116	0.7651964	0.7726117	0.76998395	0.80278975	0.8093483	0.8107599	0.8142036	0.8121233	0.8064819	0.8051283	0.8017798	0.8015596	0.797375	0.7918725	0.7866429	0.7899649	0.79273546	0.79725796	0.79668975	0.81024116	0.8128469	0.8132967	0.8194995	0.8223681	0.82242906	0.823087	0.8229843	0.82352364	0.82379	0.8226837
L54	0.42001292	0.42334837	0.43496287	0.43727002	0.46717402	0.46483928	0.47352618	0.49827358	0.5354767	0.5526451	0.5952113	0.6214298	0.64304054	0.6580865	0.68720865	0.72146064	0.72968805	0.7578323	0.74887675	0.7497124	0.753785	0.75310284	0.7527992	0.75149196	0.7520634	0.75639796	0.75528264	0.75389767	0.7458356	0.7511303	0.7498495	0.7571347	0.7543854	0.7860325	0.792571	0.7939429	0.7973184	0.7952325	0.7894937	0.7883704	0.78512895	0.7851544	0.7811609	0.77579105	0.7707607	0.77413195	0.7768354	0.7813429	0.78095496	0.7941167	0.7961879	0.7966145	0.8025756	0.8055422	0.80554557	0.8061892	0.80599636	0.8065992	0.8068346	0.8058155
L55	0.41844544	0.4214181	0.43361184	0.4373795	0.46762243	0.4664915	0.47622064	0.50015295	0.5351839	0.55179346	0.59277815	0.61777157	0.63849473	0.65339965	0.6815998	0.71319765	0.71972835	0.7439003	0.7355908	0.735504	0.73992795	0.73957247	0.7385655	0.7377676	0.73825836	0.74308884	0.7423444	0.7414598	0.7342971	0.739703	0.7390423	0.74573517	0.7432559	0.76954323	0.7753458	0.7767259	0.7808688	0.77869534	0.77271485	0.772291	0.76991326	0.77024055	0.767291	0.76241046	0.7577497	0.7611376	0.7637745	0.7676962	0.76723176	0.7776204	0.7787324	0.7788322	0.78478134	0.78708464	0.7867533	0.7871923	0.7872274	0.7881622	0.78859967	0.7877775
L56	0.4620168	0.46747294	0.48026726	0.48380888	0.51350266	0.5118634	0.52226216	0.5482707	0.58453494	0.60168535	0.64367634	0.668185	0.6880766	0.70196384	0.72817975	0.757932	0.7637037	0.7863912	0.77862257	0.7787824	0.7823357	0.78150254	0.7801208	0.77938825	0.7801437	0.78545815	0.7843948	0.78323805	0.7759841	0.7815303	0.7809797	0.78782403	0.78549784	0.8076399	0.81311524	0.81450826	0.8182839	0.8157811	0.8108092	0.8113257	0.81020534	0.8103854	0.80775976	0.80353224	0.7984425	0.8020755	0.8053931	0.80899155	0.80911046	0.8185407	0.8192198	0.8195744	0.82544386	0.82712495	0.82664	0.8272284	0.8280336	0.8306615	0.831463	0.8307084
L57	0.48677635	0.4919639	0.5055414	0.5115829	0.5424347	0.54224586	0.55481654	0.5811128	0.6164015	0.6331424	0.6750767	0.6986979	0.7178099	0.73189944	0.7570556	0.7851808	0.7882569	0.8095432	0.80268997	0.8017212	0.8051163	0.8045666	0.80286956	0.80246645	0.8027651	0.80884135	0.80763465	0.8065403	0.7992843	0.80488247	0.80480427	0.8115674	0.80897135	0.8280585	0.8334148	0.8339001	0.8373378	0.8341142	0.82903206	0.830314	0.830547	0.8304794	0.8284811	0.82530034	0.8199229	0.82373834	0.8275693	0.83106226	0.83151543	0.8402793	0.840708	0.841004	0.84700096	0.8479199	0.8471434	0.8474437	0.84909177	0.8518431	0.85309994	0.85272247
