condition	n_rows_kept	n_faces_kept	hidden_to_face_acc	hidden_to_face_macroF1	majority_baseline	uniform_baseline	hidden_to_quadrant_acc	face_to_hidden_top5_weighted_eta2	face_to_hidden_top5_eta2_norm	face_centroid_r2_full_hidden	quadrant_centroid_r2_full_hidden	face_gain_over_quadrant_pp
intro_none	78	7	0.6923076923076923	0.5878105658411261	0.23076923076923078	0.14285714285714285	0.9622641509433962	0.47909463029286437	0.7747764479368703	0.4977647815689097	0.4903634252273992	0.7401356341510512
intro_pre	39	3	0.717948717948718	0.2871794871794872	0.717948717948718	0.3333333333333333	0.9384615384615385	0.19521651463850206	0.3418809726913265	0.2065356975159588	0.4186750616312829	-21.21393641153241
intro_lorem	58	6	0.7758620689655172	0.7776190476190475	0.27586206896551724	0.16666666666666666	0.9518072289156626	0.4671224360012119	0.71426999970548	0.48848389188462826	0.5157862877210037	-2.7302395836375393
