condition	n_rows_kept	n_faces_kept	hidden_to_face_acc	hidden_to_face_macroF1	majority_baseline	uniform_baseline	hidden_to_quadrant_acc	face_to_hidden_top5_weighted_eta2	face_to_hidden_top5_eta2_norm	face_centroid_r2_full_hidden	quadrant_centroid_r2_full_hidden	face_gain_over_quadrant_pp
intro_none	76	9	0.5263157894736842	0.44058988654348025	0.17105263157894737	0.1111111111111111	0.9797979797979798	0.4661085456596013	0.7779013792599648	0.499455727356391	0.48863948842947247	1.081623892691852
intro_pre	20	2	0.95	0.948849104859335	0.55	0.5	0.9555555555555556	0.2693146479563601	0.37417104890104774	0.2728974361954587	0.4661375511929454	-19.32401149974867
intro_lorem	36	5	0.6111111111111112	0.5594771241830065	0.2222222222222222	0.2	0.96875	0.4848767314632827	0.7235856835874761	0.5077959991427538	0.5771593028104127	-6.9363303667658975
intro_custom	21	2	0.8571428571428571	0.8444444444444444	0.5714285714285714	0.5	0.9361702127659575	0.1897371149487449	0.28841167942806584	0.19655008494815396	0.3926234604701101	-19.607337552195613
