model	n_rows	n_prompts	point_face_gain	boot_mean	boot_std	boot_lo95	boot_hi95	sub30_mean	sub30_std	sub60_mean	sub60_std	sub90_mean	sub90_std	sub120_mean	sub120_std
gemma	960	120	-0.01264	0.00016	0.01578	-0.03001	0.02953	0.01218	0.02816	0.00482	0.01320	-0.00780	0.00739	-0.00181	0.01326
qwen	948	120	-0.03683	-0.02100	0.01047	-0.04192	-0.00194	-0.00685	0.02117	-0.01450	0.01278	-0.02991	0.00678	-0.02194	0.01319
ministral	881	120	-0.16097	-0.15595	0.02374	-0.20012	-0.11029	-0.17506	0.04372	-0.14909	0.02921	-0.15889	0.01646	-0.14837	0.02335
gpt_oss_20b	959	120	-0.03341	-0.01659	0.02402	-0.06204	0.02780	-0.00364	0.04675	-0.00749	0.02513	-0.02464	0.01639	-0.01400	0.02114
