condition	n_rows_kept	n_faces_kept	hidden_to_face_acc	hidden_to_face_macroF1	majority_baseline	uniform_baseline	hidden_to_quadrant_acc	face_to_hidden_top5_weighted_eta2	face_to_hidden_top5_eta2_norm	face_centroid_r2_full_hidden	quadrant_centroid_r2_full_hidden	face_gain_over_quadrant_pp
intro_none	94	5	0.6382978723404256	0.3692039776381536	0.5	0.2	0.9401709401709402	0.25411940647638553	0.4381204865042794	0.27241570457317743	0.3544581347500939	-8.204243017691649
intro_pre	117	5	0.5982905982905983	0.41182550539595686	0.37606837606837606	0.2	0.9090909090909091	0.19708917628127043	0.35810593544458064	0.2087001954422193	0.26884780056812607	-6.014760512590678
intro_lorem	19	2	0.631578947368421	0.3870967741935484	0.631578947368421	0.5	0.7678571428571429	0.07856732209453636	0.11832519822258368	0.09249114263418068	0.36843142270721696	-27.594028007303628
