first_word	n	taxonomy_label	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(╥_╥;)	5	0	0.9638661742210388	LN	0	0	2	3	0
(╯°□°)	10	0	0.9369551539421082	HN	0	0	8	2	0
(╥﹏╥)	12	0	0.9319621324539185	LN	0	0	3	9	0
(◕‿◕✿)	47	0	0.924324095249176	LP	15	17	1	1	13
(ﾉ◕ヮ◕)	5	1	0.923132598400116	LN	1	1	0	2	1
