project_slug	axis	mean	std	n
-Users-a9lim-Work	warmth	0.07650703114994001	0.06916265419938959	22
-Users-a9lim-Work	energy	0.13050268197918807	0.09711328271637257	22
-Users-a9lim-Work	confidence	-0.005659561761350819	0.0653713967424283	22
-Users-a9lim-Work	playfulness	0.026756361946812638	0.07018773643241895	22
-Users-a9lim-Work	empathy	0.05815198659853107	0.07040345565430738	22
-Users-a9lim-Work	technicality	-0.09364418816303045	0.064899199222553	22
-Users-a9lim-Work	positivity	0.20465014208547094	0.08221113151393437	22
-Users-a9lim-Work	curiosity	0.09384331745665238	0.0535968023858443	22
-Users-a9lim-Work	approval	0.11570683135247943	0.07751198654827059	22
-Users-a9lim-Work	apologeticness	-0.1185768670083458	0.06304649642203865	22
-Users-a9lim-Work	decisiveness	-0.02958522106202507	0.04982670675796355	22
-Users-a9lim-Work	wryness	-0.11617958395435023	0.06005952913094881	22
-Users-a9lim-Work	wetness	-0.07659779687764051	0.08380645851538225	22
-Users-a9lim-Work	surprise	-0.020447470372739054	0.06504379458985668	22
-Users-a9lim-Work	anger	0.004917114573041599	0.04243177438194257	22
-Users-a9lim-Work	frustration	0.031142766826903878	0.0831265764277027	22
-Users-a9lim-Work	hatefulness	-0.020185653959699727	0.08203258630483744	22
-Users-a9lim-Work	sadness	-0.13397223261984437	0.07266212066278512	22
-Users-a9lim-Work	hope	0.20989031951452566	0.06017766813805783	22
-Users-a9lim-Work	aggression	-0.0005778223464643334	0.05149032328233056	22
-Users-a9lim-Work	exhaustion	-0.013824728754730738	0.04121188929582227	22
subagents	warmth	0.08191006907223418	0.06160078586636908	74
subagents	energy	0.11239877629022414	0.11731962726592478	74
subagents	confidence	0.032593155596746554	0.06382480698308324	74
subagents	playfulness	-0.029600858721709714	0.07216106612294833	74
subagents	empathy	0.052821835507786415	0.049304351638317465	74
subagents	technicality	-0.07544546129690172	0.0672742394959289	74
subagents	positivity	0.2284695696182412	0.09711878856501548	74
subagents	curiosity	0.0780418647834767	0.062251332623206916	74
subagents	approval	0.1098188980051892	0.06444288834122147	74
subagents	apologeticness	-0.1377604785759347	0.04326473955836379	74
subagents	decisiveness	-0.010587271671778484	0.053537021334468866	74
subagents	wryness	-0.1469439607219207	0.07413226238521911	74
subagents	wetness	-0.08819994549813408	0.09978657409371315	74
subagents	surprise	-0.022402457086486225	0.04422297683552707	74
subagents	anger	-0.01151859086132341	0.04110425175202796	74
subagents	frustration	0.03233030102420569	0.05948669777527777	74
subagents	hatefulness	0.006785701136864162	0.06455009141298375	74
subagents	sadness	-0.13878784524446808	0.07851285757773555	74
subagents	hope	0.20838788209913706	0.07501718955476847	74
subagents	aggression	-0.009954292351218185	0.04762041490744856	74
subagents	exhaustion	-0.014951124855607753	0.03151118546050469	74
-Users-a9lim-Work-a9lim-github-io	warmth	0.08197148938076307	0.055090445743090764	66
-Users-a9lim-Work-a9lim-github-io	energy	0.12112290031122132	0.12022456419766073	66
-Users-a9lim-Work-a9lim-github-io	confidence	0.017486529521976674	0.051284778680678	66
-Users-a9lim-Work-a9lim-github-io	playfulness	-0.004198019664926706	0.07030664020164772	66
-Users-a9lim-Work-a9lim-github-io	empathy	0.04930286097977975	0.06464475256753192	66
-Users-a9lim-Work-a9lim-github-io	technicality	-0.08194356475540046	0.06050970219138632	66
-Users-a9lim-Work-a9lim-github-io	positivity	0.19713135461150258	0.07724354838486287	66
-Users-a9lim-Work-a9lim-github-io	curiosity	0.08092660476446445	0.06479255585969097	66
-Users-a9lim-Work-a9lim-github-io	approval	0.1068355569628899	0.06605623004198444	66
-Users-a9lim-Work-a9lim-github-io	apologeticness	-0.1189984369997375	0.06954407843712665	66
-Users-a9lim-Work-a9lim-github-io	decisiveness	-0.01717959096614412	0.0512720646120556	66
