first_word	gemma_emit_count	gemma_emit_HP	gemma_emit_LP	gemma_emit_HN-D	gemma_emit_HN-S	gemma_emit_LN	gemma_emit_NB	gemma_modal	gemma_modal_frac	qwen_emit_count	qwen_emit_HP	qwen_emit_LP	qwen_emit_HN-D	qwen_emit_HN-S	qwen_emit_LN	qwen_emit_NB	qwen_modal	qwen_modal_frac	ministral_emit_count	ministral_emit_HP	ministral_emit_LP	ministral_emit_HN-D	ministral_emit_HN-S	ministral_emit_LN	ministral_emit_NB	ministral_modal	ministral_modal_frac	present_in	n_models	all3_modal_agree	jsd_gemma_qwen	jsd_gemma_ministral	jsd_qwen_ministral
(´・ω・`)	0	0	0	0	0	0	0		0.0	47	0	11	0	4	9	23	NB	0.4894	5	1	0	0	0	3	1	LN	0.6	qwen,ministral	2				
(´｡・‿・｡`)	0	0	0	0	0	0	0		0.0	30	0	27	0	0	0	3	LP	0.9	0	0	0	0	0	0	0		0.0	qwen	1				
(˘³˘)	1	0	1	0	0	0	0	LP	1.0	37	0	20	0	1	1	15	LP	0.5405	0	0	0	0	0	0	0		0.0	gemma,qwen	2				
(˘̩╭╮˘̩)	8	0	0	0	2	6	0	LN	0.75	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(˘ω˘)	10	0	9	0	0	0	1	LP	0.9	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(˘ڡ˘)	9	0	8	0	0	0	1	LP	0.8889	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(˘‿˘)	2	0	2	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(˘▽˘)	6	5	0	0	0	0	1	HP	0.8333	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(˙꒳˙)	7	0	0	0	0	0	7	NB	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(ಠ_ಠ)	0	0	0	0	0	0	0		0.0	1	0	0	1	0	0	0	HN-D	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(๑><๑)	0	0	0	0	0	0	0		0.0	4	0	4	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(๑>‿<๑)	0	0	0	0	0	0	0		0.0	4	0	4	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(๑´ڡ`๑)	1	0	0	0	0	0	1	NB	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(๑˃‿˂)	123	100	16	0	0	0	7	HP	0.813	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(๑・̀ㅂ・́)	0	0	0	0	0	0	0		0.0	3	0	3	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(๑・﹏・)	1	0	0	0	0	0	1	NB	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(‿‿‿)	2	0	2	0	0	0	0	LP	1.0	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	gemma,qwen	2				
(⁄	0	0	0	0	0	0	0		0.0	6	4	2	0	0	0	0	HP	0.6667	0	0	0	0	0	0	0		0.0	qwen	1				
(⁎‿‿‿⁎)	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(≧‿≦)	0	0	0	0	0	0	0		0.0	55	29	20	0	0	0	6	HP	0.5273	11	4	5	0	0	2	0	LP	0.4545	qwen,ministral	2				
(≧∇≦)	0	0	0	0	0	0	0		0.0	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(≧▽≦)	3	3	0	0	0	0	0	HP	1.0	17	15	1	0	0	0	1	HP	0.8824	7	4	0	0	0	0	3	HP	0.5714	gemma,qwen,ministral	3	True	0.0426	0.1781	0.1163
(≧▽≦�	0	0	0	0	0	0	0		0.0	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(⊙_⊙)	99	0	0	15	69	0	15	HN-S	0.697	1	0	0	0	0	0	1	NB	1.0	1	0	0	0	1	0	0	HN-S	1.0	gemma,qwen,ministral	3	False	0.469	0.1186	0.6931
(⊙_⊙;)	0	0	0	0	0	0	0		0.0	8	3	0	1	4	0	0	HN-S	0.5	0	0	0	0	0	0	0		0.0	qwen	1				
(⊙o⊙)	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(⊙ᗜ⊙)	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(⊙⊙)	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(⊙▽⊙)	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(⊙️☉⊙️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	ministral	1				
(⊙︿⊙)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	4	0	0	3	1	0	0	HN-D	0.75	ministral	1				
(⊙﹏⊙)	16	0	0	0	16	0	0	HN-S	1.0	0	0	0	0	0	0	0		0.0	2	0	0	0	0	2	0	LN	1.0	gemma,ministral	2				
(⊙﹏⊙;)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	2	0	0	1	0	1	0	HN-D	0.5	ministral	1				
(⌐■_■)	0	0	0	0	0	0	0		0.0	4	0	0	0	0	0	4	NB	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(⌒‿⌒)	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(⏰✨)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	ministral	1				
(╥_╥)	0	0	0	0	0	0	0		0.0	18	0	0	16	2	0	0	HN-D	0.8889	34	0	0	12	6	16	0	LN	0.4706	qwen,ministral	2				
(╥_╥;)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	10	0	0	3	3	4	0	LN	0.4	ministral	1				
(╥╯﹏╰╥)	1	0	0	0	0	1	0	LN	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(╥﹏╥	0	0	0	0	0	0	0		0.0	2	1	0	1	0	0	0	HP	0.5	0	0	0	0	0	0	0		0.0	qwen	1				
(╥﹏╥)	12	8	0	0	3	1	0	HP	0.6667	24	1	0	16	7	0	0	HN-D	0.6667	67	0	1	21	11	34	0	LN	0.5075	gemma,qwen,ministral	3	False	0.427	0.4339	0.2371
(╯°□°)	136	2	0	134	0	0	0	HN-D	0.9853	110	0	0	107	3	0	0	HN-D	0.9727	81	3	1	45	11	13	8	HN-D	0.5556	gemma,qwen,ministral	3	True	0.0146	0.1741	0.1555
(╯⊙╰)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	ministral	1				
(╯✧∀✧)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(╯✧▽✧)	1	1	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	30	10	2	10	2	1	5	HP	0.3333	gemma,ministral	2				
(╰✧╰)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	ministral	1				
(◕‿◕)	0	0	0	0	0	0	0		0.0	11	0	0	0	0	0	11	NB	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(◕‿◕✿)	0	0	0	0	0	0	0		0.0	13	0	9	0	0	0	4	LP	0.6923	223	42	58	9	12	19	83	NB	0.3722	qwen,ministral	2				
(◕‿◕�	0	0	0	0	0	0	0		0.0	9	0	5	0	0	0	4	LP	0.5556	0	0	0	0	0	0	0		0.0	qwen	1				
(☀️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	2	0	0	0	0	0	2	NB	1.0	ministral	1				
(☀️◕‿◕☀�	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☀️✨)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	2	0	2	0	0	0	0	LP	1.0	ministral	1				
(☀️🌿)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☀️🚦)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	ministral	1				
(☀️🪑🍋	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☀️🪑🍋�	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☁️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	2	0	0	0	0	0	2	NB	1.0	ministral	1				
(☁️‿☁️)	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(☁️✨)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	ministral	1				
(☁️❄️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☁️🌸)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	ministral	1				
(☁️👁️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	0	0	1	NB	1.0	ministral	1				
(☃❄️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(★ω★)	2	2	0	0	0	0	0	HP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(☉_☉)	0	0	0	0	0	0	0		0.0	1	0	0	0	1	0	0	HN-S	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(☔️🌧️✨	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☔️🌿🛏�	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	ministral	1				
(☕´・ω・`)	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(☕❄️)	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(☕️)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	3	0	0	0	0	0	3	NB	1.0	ministral	1				
(☕️´▽`☕️)	0	0	0	0	0	0	0		0.0	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(☕️‿‿‿)	2	0	2	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(☕️‿☕️)	1	0	1	0	0	0	0	LP	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
