condition	n_rows_kept	n_faces_kept	hidden_to_face_acc	hidden_to_face_macroF1	majority_baseline	uniform_baseline	hidden_to_quadrant_acc	face_to_hidden_top5_weighted_eta2	face_to_hidden_top5_eta2_norm	face_centroid_r2_full_hidden	quadrant_centroid_r2_full_hidden	face_gain_over_quadrant_pp
intro_none	97	8	0.7319587628865979	0.6314153439153438	0.18556701030927836	0.125	0.9916666666666667	0.5087405446510798	0.7454316687624729	0.5400529168158359	0.531314301482498	0.8738615333337862
intro_pre	75	8	0.64	0.573725022254434	0.18666666666666668	0.125	0.9916666666666667	0.4127916691525245	0.6875519594646791	0.4593838298215448	0.43406670521102764	2.531712461051716
intro_lorem	96	8	0.625	0.4752853688708952	0.1875	0.125	0.9916666666666667	0.5237569276143417	0.7835229376604597	0.5486117348163841	0.5266572294562121	2.195450536017207
intro_custom	70	6	0.7857142857142857	0.6925396825396826	0.32857142857142857	0.16666666666666666	0.9915254237288136	0.5403388822552235	0.7259400179242732	0.5536878681274149	0.5618082773526649	-0.8120409225250036
