size	encoders	weighted_correct	weighted_acc	weighted_kappa	majority_correct	majority_resolved	majority_acc_resolved	majority_kappa_resolved	abstain_rate
8	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.44442487229170324	35	46	0.7608695652173914	0.7023529411764706	0.7228915662650602
8	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.4470062242482685	20	26	0.7692307692307693	0.7028571428571428	0.8433734939759037
7	gemma,gpt_oss_20b,ministral,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.446981983956516	28	44	0.6363636363636364	0.5630043451272502	0.7349397590361446
8	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.4476840907100954	25	37	0.6756756756756757	0.5873605947955391	0.7771084337349398
8	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.44690925032880313	26	33	0.7878787878787878	0.7220216606498195	0.8012048192771084
7	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.4473453653408095	34	57	0.5964912280701754	0.49205734211545915	0.6566265060240963
6	gemma,gpt_oss_20b,granite,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.44469386856815885	18	24	0.75	0.685589519650655	0.8554216867469879
5	gemma,gpt_oss_20b,granite,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.44427803717734127	43	70	0.6142857142857143	0.5314823996033713	0.5783132530120482
7	gemma,gpt_oss_20b,granite,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.4443759358759799	31	45	0.6888888888888889	0.6204819277108433	0.7289156626506024
6	gemma,gpt_oss_20b,granite,ministral,rinna_bilingual_4b,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.4433217138066452	25	36	0.6944444444444444	0.6170212765957448	0.7831325301204819
5	gemma,gpt_oss_20b,ministral,qwen,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.448022401120056	42	72	0.5833333333333334	0.492600422832981	0.5662650602409638
6	gemma,gpt_oss_20b,granite,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b	90	0.5421686746987951	0.4443514644351465	22	27	0.8148148148148148	0.7688356164383562	0.8373493975903614
5	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.4440821362474662	45	75	0.6	0.5108695652173912	0.5481927710843373
9	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.44608359676852827	33	45	0.7333333333333333	0.6650124069478908	0.7289156626506024
