condition	n_rows_kept	n_faces_kept	hidden_to_face_acc	hidden_to_face_macroF1	majority_baseline	uniform_baseline	hidden_to_quadrant_acc	face_to_hidden_top5_weighted_eta2	face_to_hidden_top5_eta2_norm	face_centroid_r2_full_hidden	quadrant_centroid_r2_full_hidden	face_gain_over_quadrant_pp
intro_none	97	8	0.7319587628865979	0.6314153439153438	0.18556701030927836	0.125	0.9916666666666667	0.5087397004992973	0.7454316037194235	0.5400529168158359	0.531314301482498	0.8738615333337862
intro_pre	75	8	0.64	0.573725022254434	0.18666666666666668	0.125	0.9916666666666667	0.41279179350626016	0.6875514157411787	0.4593838298215448	0.43406670521102764	2.531712461051716
intro_lorem	96	8	0.625	0.4752853688708952	0.1875	0.125	0.9916666666666667	0.5237577508270825	0.783523260926315	0.5486117348163841	0.5266572294562121	2.195450536017207
intro_custom	92	9	0.7282608695652174	0.6905645661918063	0.17391304347826086	0.1111111111111111	1.0	0.6086902070874219	0.8567907144733835	0.6362605607389167	0.5992391801434559	3.7021380595460784
