cluster_id	label	n_faces	n_shared	n_wild_claude	n_wild_other	shared_frac	wild_claude_frac	wild_other_frac	wild_frac	modal_quadrant	modal_share	diffuseness	total_emit_weight_shared	share_HP	share_LP	share_HN-D	share_HN-S	share_LN	share_NB	top_axes_pos	top_axes_neg	sample_members
2	cluster-2	44	7	32	5	0.159	0.727	0.114	0.841	NB	0.908	0.092	153	0.0	0.0	0.0	0.092	0.0	0.908	hope:+0.21; curiosity:+0.12; positivity:+0.09	wryness:-0.17; wetness:-0.13; playfulness:-0.09	(◕_◕), (・_・), (◠‿◠), (・_・;), (¬_¬), (`_´), (ง'̀-'́), (;・∀・), … (+36 more)
1	cluster-1	22	4	17	1	0.182	0.773	0.045	0.818	HN-S	0.727	0.273	11	0.091	0.0	0.0	0.727	0.182	0.0	hope:+0.13; positivity:+0.09; anger:+0.07	technicality:-0.13; exhaustion:-0.10; sadness:-0.08	(╥﹏╥), (°□°), (ﾟーﾟ), (>_<), (・̀_・́), (◞‸◟ㆀ), (・̀⌄・́), (・︵・), … (+14 more)
5	cluster-5	68	14	51	3	0.206	0.75	0.044	0.794	LN	0.595	0.405	247	0.02	0.016	0.036	0.126	0.595	0.206	hope:+0.15; positivity:+0.09; curiosity:+0.09	technicality:-0.06; exhaustion:-0.06; wetness:-0.05	(´・ω・`), (・ω・), (°ロ°), (´・_・`), (´-ω-`), (´;ω;`), (ಠ_ಠ), (;￣д￣), … (+60 more)
0	cluster-0	76	16	59	1	0.211	0.776	0.013	0.789	NB	0.808	0.192	626	0.056	0.131	0.0	0.005	0.0	0.808	positivity:+0.22; hope:+0.20; energy:+0.17	sadness:-0.15; apologeticness:-0.12; wryness:-0.10	(・̀‿・́), (・‿・), (`・ω・´), (๑・̀ㅂ・́), (＾▽＾), (ง・̀_・́), (´▽`), (◕ω◕), … (+68 more)
4	cluster-4	54	13	39	2	0.241	0.722	0.037	0.759	HP	0.767	0.233	1093	0.767	0.029	0.024	0.01	0.014	0.156	hope:+0.23; positivity:+0.20; approval:+0.11	wryness:-0.19; wetness:-0.15; sadness:-0.13	(◕‿◕), (｡・̀‿-), (¬‿¬), (・∀・), (✿◠‿◠), (╯°□°), (￣▽￣), (⌐■_■), … (+46 more)
3	cluster-3	42	15	27	0	0.357	0.643	0.0	0.643	LP	0.923	0.077	442	0.025	0.923	0.0	0.0	0.052	0.0	positivity:+0.28; hope:+0.24; warmth:+0.14	sadness:-0.17; wryness:-0.16; technicality:-0.14	(◕‿◕✿), (´｡・‿・｡`), (´∀`), (｡・‿・｡), (´｡・ω・｡`), (‿‿‿), (´ω`), (˘ω˘), … (+34 more)
