first_word	source_model	cell_count	sm_HP	sm_LP	sm_HN-D	sm_HN-S	sm_LN	sm_NB	modal_sm	jsd_vs_gt	sim_vs_gt	modal_gt	gt_emit	jsd_vs_pooled	sim_vs_pooled
(・_・)	claude-opus-4-6	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	21	0.6263	0.0964
(・_・)	gpt-5.4	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D	0.6931	0.0	NB	21	0.5427	0.217
(◠‿◠)	claude-opus-4-7	61	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.0032	0.9954
(◠‿◠)	codex-hook	4	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1994	0.7123
(◠‿◠)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.3166	0.5432
(｡・‿・｡)	claude-opus-4-7	46	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.2977	0.5705	LP	11	0.0663	0.9044
(｡・‿・｡)	codex-hook	5	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.1914	0.7238	LP	11	0.4425	0.3616
(´∀`)	claude-opus-4-7	40	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2158	0.6887	LP	5	0.0051	0.9927
(´∀`)	codex-hook	10	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.0	1.0	LP	5	0.1639	0.7636
(๑・̀ㅂ・́)	claude-opus-4-7	40	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0352	0.9493
(๑・̀ㅂ・́)	codex-hook	6	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.5705	0.177
(๑・̀ㅂ・́)	gpt-5.5	3	0.0	0.5	0.5	0.0	0.0	0.0	LP				0	0.1751	0.7474
(・ω・)	claude-opus-4-7	39	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.0	1.0	NB	23	0.1349	0.8054
(・ω・)	codex-hook	7	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	23	0.3144	0.5465
(・ω・)	claude-opus-4-6	3	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	23	0.3144	0.5465
(＾▽＾)	gpt-5.5	36	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0107	0.9845
(＾▽＾)	claude-opus-4-7	9	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0107	0.9845
(＾▽＾)	gpt-5-5-thinking	3	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1635	0.7641
(＾▽＾)	gpt-5.4	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0107	0.9845
(¬‿¬)	claude-opus-4-7	18	0.0	0.0	0.5	0.0	0.5	0.0	HN-D	0.6931	0.0	NB	9	0.1125	0.8377
(¬‿¬)	gpt-5.5	14	0.0	0.0	0.5	0.5	0.0	0.0	HN-D	0.6931	0.0	NB	9	0.1714	0.7527
(¬‿¬)	codex-hook	4	0.0	0.0	1.0	0.0	0.0	0.0	HN-D	0.6931	0.0	NB	9	0.2441	0.6479
(¬‿¬)	claude-opus-4-6	2	0.0	0.5	0.0	0.0	0.0	0.5	LP	0.2158	0.6887	NB	9	0.5315	0.2331
(¬‿¬)	gpt-5-5-thinking	2	0.0	0.0	0.0	0.0	1.0	0.0	LN	0.6931	0.0	NB	9	0.3607	0.4796
(¬‿¬)	gpt-5.4	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	9	0.5571	0.1963
(・∀・)	claude-opus-4-7	24	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	10	0.0	1.0
(・∀・)	codex-hook	7	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	10	0.0	1.0
(・∀・)	claude-opus-4-6	3	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	10	0.0	1.0
(・∀・)	<synthetic>	1	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	10	0.0	1.0
(ง・̀_・́)	claude-opus-4-7	23	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0008	0.9989
(ง・̀_・́)	gpt-5.5	5	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1945	0.7194
(ง・̀_・́)	codex-hook	3	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.2381	0.6565
(ง・̀_・́)	claude-opus-4-6	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1945	0.7194
(・_・;)	claude-opus-4-7	25	0.0	0.0	0.0	0.0	0.5	0.5	LN	0.3009	0.5659	NB	31	0.0581	0.9162
(・_・;)	gpt-5.5	4	0.0	0.0	0.0	0.5	0.5	0.0	HN-S	0.4333	0.3749	NB	31	0.2653	0.6173
(・_・;)	codex-hook	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	31	0.5743	0.1715
(・_・;)	gpt-5.4	1	0.0	0.0	1.0	0.0	0.0	0.0	HN-D	0.5714	0.1756	NB	31	0.6231	0.1011
(¬_¬)	gpt-5.5	14	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0718	0.8965
(¬_¬)	claude-opus-4-7	9	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.4298	0.38
(¬_¬)	codex-hook	4	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0718	0.8965
(¬_¬)	gpt-5.4	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0718	0.8965
(¬_¬)	claude-opus-4-6	1	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.4298	0.38
(´▽`)	claude-opus-4-7	23	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.14	0.798	LP	20	0.0373	0.9462
