first_word	n	warmth	energy	confidence	playfulness	empathy	technicality	positivity	curiosity	approval	apologeticness	decisiveness	wryness	wetness	surprise	anger	frustration	hatefulness	sadness	hope	aggression	exhaustion
(◕‿◕)	93	0.2301282948078426	0.07594988088502165	0.08622208547351608	0.11234643518056547	0.06005875073042186	-0.2087970625495795	0.3169618885320837	0.10893912999700996	0.1416861672295158	-0.15718677430030611	-0.04868181477452423	-0.20550235792571248	-0.044624227873252376	0.021287234520731203	-0.08515804400153867	-0.010464783337247008	0.016045938264658766	-0.25096304762246696	0.3277756659981253	-0.054266317884770904	-0.10158280307566464
(・̀‿・́)	72	0.13189298216624237	0.18959163606809867	0.02375685780276338	0.1642071397396121	0.14229550109692216	-0.1579930950482219	0.2790783708552582	0.011924976603946015	0.19014016061293054	-0.07716671070807894	-0.149438536647261	-0.12389563187601688	-0.0007940075549527725	0.015335735297706562	-0.025566974536339264	-0.020948311599409845	-0.10282066366482677	-0.17151940671223537	0.23593796886396987	-0.10875784349962805	-0.033555824035274386
(｡・̀‿-)	54	0.11241438962883793	-0.027735835820410965	0.06007045418515431	0.06277851536501589	0.05673948744636883	-0.2277506949630038	0.1913511383813787	0.04080911465034247	0.12837964751409334	-0.11588102618767815	-0.04081234824493893	-0.1983958200348107	-0.11335354234969221	0.031163994665363598	0.0026744257536310285	-0.025660265851549353	-0.06857116896031103	-0.15411283458381717	0.23849982154487287	-0.06202410278416985	-0.06345156479375309
(◕‿◕✿)	33	0.16055124964846343	0.11062831433677113	0.10564054180427251	0.03588584949864317	0.0792251306821879	-0.04585141820697555	0.26933349773995996	0.041128491308749036	0.13248251673786401	-0.1557618558862633	-0.02792758135010063	-0.06446348250447219	0.03548946835356601	-0.018569551582166076	-0.03342141301824947	-0.05225251335800162	-0.051226978513190254	-0.14585358722415848	0.2009362510966634	0.04542271005341132	-0.012607713730026879
(`・ω・´)	31	0.02597111444865622	-0.031526242005851544	-0.05428638595757555	-0.08723550843792574	0.03367417186136587	-0.08749993881756976	0.20619552303433633	0.1689574868695284	0.15452578266900796	-0.1635832934013463	-0.07004075212916727	-0.15456714726184112	-0.04623167011311728	-0.012773755819379454	-0.029106436937462236	0.014446345400382577	0.050266362006135365	-0.15043426240774238	0.24037047882663443	0.0074377565594379936	-0.14382030941645044
(◠‿◠)	24	0.18202531631733682	0.16782523696421253	0.09734488697185367	0.08305724695423389	0.04750318303068715	-0.10967310790800584	0.3504741787910484	0.041788245081387634	0.1863852091351448	-0.11554477597310876	-0.020837030679586595	-0.13019917534004072	-0.20495911395248942	0.05800547148621354	-0.02312089537368488	0.030909204399403492	-0.07231045118950571	-0.2201101115254036	0.3180648356193149	0.016257424726696553	-0.036446269882147476
(´・ω・`)	21	0.12309203823571475	-0.06670668493964793	-0.010421798454815818	0.03983402749505142	0.007634859659867873	-0.21693156464433824	0.19527224571803362	0.082390250869904	0.15720350154577187	-0.012257134239971825	-0.007680306773194945	-0.07588977616799511	-0.47192903825832283	0.0018330767062135357	0.0001857140681981257	0.13201662430625524	-0.019242799407095872	-0.07874494741644161	0.27368664763125644	-0.0005588128656346278	-0.0684178771418054
(・_・)	21	0.11310199641976809	-0.00220945732227732	0.04650743363814635	0.020675563796183988	0.07028542201075332	-0.18726331523495404	0.19617846094962194	0.1330715706645876	0.15895755782294158	-0.12894071751406624	0.01569923895922889	-0.11938818833132506	-0.2445182500111027	0.021995287551391678	0.010340415794617678	0.06745304631109171	-0.032906467280889196	-0.20551780834125316	0.3165379195472504	0.023270324877595942	-0.0905743429494391
(๑・̀ㅂ・́)	19	0.12376350037250275	0.1563167073265036	-0.013922843303289939	0.16066688542513735	0.04320516578217832	-0.13236314335245714	0.23706685418466106	0.0778889289073558	0.1798467078493227	-0.07338894094847949	-0.05606262832111577	-0.04915532957381806	-0.20738825009494205	0.05318218793597566	0.05586293940095795	0.07816527590715582	-0.11794997700515353	-0.19521035004810663	0.256179357554724	0.07226417620703918	-0.041047875932427154
(｡・‿・｡)	18	0.07259798562220873	0.1359090020097366	0.03731065270674606	0.1505533346927884	-0.009929521856959599	-0.13117371235759914	0.25577785512938483	0.05640152582156705	0.10716390054035188	-0.16111797920150442	-0.06932400793749435	-0.08880189086266611	0.055863500301538055	0.12786795638148138	0.0064406582069310055	0.0065369253666207805	-0.01686377828569221	-0.24884841993643247	0.15704744437276963	0.010623683688027697	-0.03941351431193803
