layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.48004594445228577	0.25099727511405945	-0.0957455039024353	0.6035620039355619	0.5824101195978967
3	0.4732534885406494	0.24316932260990143	-0.09762121737003326	0.604974028326042	0.5722778033580671
4	0.4413469731807709	0.2724539637565613	-0.08974394202232361	0.621156550560953	0.6321003119489771
5	0.4413296580314636	0.2720337212085724	-0.09036809951066971	0.6320489760083734	0.6299897105924329
6	0.4402279853820801	0.271599143743515	-0.09051799029111862	0.6331299445672243	0.6291653841064639
7	0.4397965371608734	0.27069780230522156	-0.09025231003761292	0.632262117261344	0.6273477670223351
8	0.4181213974952698	0.274282842874527	-0.08992372453212738	0.6048456993962106	0.6073849198153173
9	0.3822263777256012	0.27794361114501953	-0.08517985790967941	0.5381773229705058	0.5684220716916847
10	0.36180269718170166	0.25849205255508423	-0.08616160601377487	0.45342224755717603	0.5024808256655107
11	0.36141371726989746	0.24081890285015106	-0.0846504345536232	0.4275101250760778	0.482258238739213
12	0.24660629034042358	0.15760554373264313	-0.08028469979763031	0.4697474163297303	0.4869691090077505
13	0.23470823466777802	0.15019218623638153	-0.08574594557285309	0.44094159082412754	0.44348207002231954
14	0.20044754445552826	0.1284978985786438	-0.0784124806523323	0.46205300691261064	0.43205685470851046
15	0.16437125205993652	0.11003845185041428	-0.06522533297538757	0.4932781389896329	0.46252437205541946
16	0.1376957893371582	0.09573157131671906	-0.030717972666025162	0.5350195961150606	0.5172645359366498
17	0.1341007947921753	0.09987609088420868	-0.031116753816604614	0.48520994975201776	0.4511811759059543
18	0.12820523977279663	0.09910694509744644	-0.0016311842482537031	0.43321605470968255	0.48795814621528805
19	0.12873415648937225	0.10089671611785889	0.037088412791490555	0.497010243220257	0.4706419894102966
20	0.13121774792671204	0.10323943197727203	0.04387429729104042	0.4618723393408076	0.45064846119106955
21	0.12520012259483337	0.10206787288188934	0.0990847498178482	0.5081976906117043	0.48471317547489684
22	0.1281917244195938	0.0973019152879715	0.1848212480545044	0.6350430096651821	0.61118945962586
23	0.14923687279224396	0.0940065011382103	0.20195266604423523	0.7771796213192114	0.7412635916472184
24	0.1749824583530426	0.08926116675138474	0.1895342618227005	0.8871211096321695	0.7836529707677505
25	0.18990127742290497	0.08611755818128586	0.17430201172828674	1.0551823361850157	0.8857242079454247
26	0.19259828329086304	0.08436907082796097	0.1798766404390335	1.0478722865487156	0.8415670793915568
27	0.19616888463497162	0.08537550270557404	0.18389709293842316	1.029084553280733	0.8282710276759666
28	0.222534641623497	0.08240801095962524	0.20722603797912598	1.1327394370000077	0.846537699038003
29	0.22992515563964844	0.08185726404190063	0.2199861854314804	1.15793467136133	0.8437726394505735
30	0.2489044964313507	0.08364659547805786	0.22187036275863647	1.2305177203395747	0.8567355338181611
31	0.268302321434021	0.08498728275299072	0.20335368812084198	1.2776907875160413	0.8752875760077985
32	0.28957825899124146	0.08995793759822845	0.16626764833927155	1.4335491283647148	0.8865739572007508
33	0.26450446248054504	0.08720684796571732	0.19776621460914612	1.6104035598945918	1.1234764370942272
34	0.24648892879486084	0.09547452628612518	0.14817434549331665	1.6776792134765937	1.2342980777314416
35	0.2509115934371948	0.10000382363796234	0.10416384786367416	1.7523742903639767	1.2518797096388
36	0.25216537714004517	0.10354602336883545	0.10565700381994247	1.7719451501198182	1.2308697773235775
37	0.26115289330482483	0.1003565862774849	0.11553660035133362	1.8424785668361179	1.2211108050467019
38	0.2611297369003296	0.08940614014863968	0.1075109913945198	1.8612013275031194	1.1105110093361172
39	0.266316294670105	0.08653178811073303	0.1102084368467331	1.8759630989353613	1.1371638403014546
40	0.2615853250026703	0.0910574421286583	0.12850436568260193	2.047593992517392	1.2086092535126352
41	0.26037630438804626	0.09420082718133926	0.12496364116668701	2.1359464777496795	1.2008967518909497
42	0.24139463901519775	0.09973952919244766	0.0948372632265091	2.17043474224039	1.370281505866869
43	0.22698350250720978	0.10175163298845291	0.1646638661623001	2.3678426627618046	1.8179128310053103
