component	explained_variance_pct	t0_happy.sad_r	tlast_happy.sad_r	t0_angry.calm_r	tlast_angry.calm_r	t0_fearful.unflinching_r	tlast_fearful.unflinching_r
PC1	30.192092895507812	0.7860107730369293	0.1254532363180091	-0.2523436894570315	-0.0537038694462626	-0.6900468881199799	-0.17837197224748658
PC2	15.701578140258789	-0.2191088415437103	-0.34838041904174166	0.006683923297205224	0.21154284048916833	-0.2600774985685117	-0.03505934164458734
PC3	9.273223876953125	-0.19492801956231248	-0.14096740208057598	-0.403482720980339	0.0878191445587583	-0.16657868295635006	-0.07886861159319623
PC4	7.678918361663818	-0.22720559174181856	-0.05918825744014818	-0.06970626236737698	0.04797041253951882	-0.148661605805972	-0.028077488335390456
PC5	4.125415325164795	-0.12419050668828202	-0.14136097148594623	0.41124049780790667	0.14986033451525127	0.10394842937744446	-0.1195261417721472
PC6	3.0639917850494385	-0.21292509390443004	-0.03924342337820448	0.15919707169806394	0.010184166158801064	0.3126269979328342	0.025045612333174698
PC7	2.410646438598633	-0.1753772351725713	-0.08008154074213958	0.019505085108265652	0.05924087032380063	0.37413784287277646	0.05827676838573277
PC8	1.7004700899124146	-0.06635371625171003	0.10220631180878204	-0.04519515809737107	-0.051019393860765	-0.009021277240793804	-0.026944994931094885
