project_slug	axis	n	mean	std
kenoma	warmth	13	-0.042038802057504654	0.0452425554394722
kenoma	energy	13	-0.023520607501268387	0.06894302368164062
kenoma	confidence	13	-0.03697028383612633	0.0452810563147068
kenoma	playfulness	13	-0.03098609670996666	0.04314044117927551
kenoma	empathy	13	-0.010827179066836834	0.061058495193719864
kenoma	technicality	13	-0.05951934680342674	0.08070723712444305
kenoma	positivity	13	-0.04063035547733307	0.04823892563581467
kenoma	curiosity	13	0.04615137353539467	0.09793457388877869
kenoma	approval	13	-0.034552909433841705	0.04340723901987076
kenoma	apologeticness	13	0.04308650642633438	0.04653561860322952
kenoma	decisiveness	13	-0.039502229541540146	0.06064866483211517
kenoma	wryness	13	0.016989799216389656	0.05234251916408539
kenoma	wetness	13	-0.04471644014120102	0.046053871512413025
kenoma	surprise	13	-0.03467344492673874	0.062341637909412384
kenoma	anger	13	0.026731155812740326	0.058121610432863235
kenoma	frustration	13	0.02454172819852829	0.07195968925952911
kenoma	hatefulness	13	0.021091053262352943	0.045960940420627594
kenoma	sadness	13	-0.007904528640210629	0.041880298405885696
kenoma	hope	13	-0.0063687702640891075	0.06515226513147354
kenoma	aggression	13	-0.004096540156751871	0.034873079508543015
kenoma	exhaustion	13	-0.06700456142425537	0.053331442177295685
saklas	warmth	35	-0.02906288392841816	0.04907359555363655
saklas	energy	35	-0.022546177729964256	0.058793194591999054
saklas	confidence	35	-0.01646541617810726	0.052562564611434937
saklas	playfulness	35	-0.0067393165081739426	0.04789135605096817
saklas	empathy	35	0.006628941744565964	0.04496782645583153
saklas	technicality	35	-0.06254894286394119	0.05893927067518234
saklas	positivity	35	-0.015503108501434326	0.045113638043403625
saklas	curiosity	35	0.039912149310112	0.07693147659301758
saklas	approval	35	-0.006512288469821215	0.04568150267004967
saklas	apologeticness	35	0.01344095915555954	0.05768219009041786
saklas	decisiveness	35	-0.0022461877670139074	0.0601288303732872
saklas	wryness	35	-0.0035979561507701874	0.05833582580089569
saklas	wetness	35	-0.03052404336631298	0.05475755035877228
saklas	surprise	35	-0.01613127999007702	0.051525045186281204
saklas	anger	35	0.013901662081480026	0.04631704464554787
saklas	frustration	35	0.030918726697564125	0.06510046124458313
saklas	hatefulness	35	-0.008789139799773693	0.05828573927283287
saklas	sadness	35	0.010670716874301434	0.050311747938394547
saklas	hope	35	0.010325322858989239	0.045233774930238724
saklas	aggression	35	-0.026960095390677452	0.04234181344509125
saklas	exhaustion	35	-0.024603502824902534	0.05518416687846184
website	warmth	14	-0.03280084207653999	0.051156461238861084
website	energy	14	0.03868565335869789	0.048851966857910156
website	confidence	14	-0.02859913930296898	0.04448418691754341
website	playfulness	14	-0.0022299957927316427	0.03892459720373154
website	empathy	14	0.006704996805638075	0.04113941639661789
website	technicality	14	0.008953616954386234	0.07108623534440994
website	positivity	14	-0.017247693613171577	0.04394219070672989
website	curiosity	14	0.08038707077503204	0.05728192999958992
website	approval	14	-0.04721757024526596	0.0559924952685833
website	apologeticness	14	-0.018497426062822342	0.06058020517230034
website	decisiveness	14	-0.0013530647847801447	0.030372679233551025
website	wryness	14	0.025257203727960587	0.06514759361743927
website	wetness	14	0.040506668388843536	0.05722746625542641
website	surprise	14	0.01142179686576128	0.035055242478847504
website	anger	14	0.021937990561127663	0.03632413223385811
website	frustration	14	-0.030955711379647255	0.05648557469248772
website	hatefulness	14	0.04528191685676575	0.04495310038328171
website	sadness	14	-0.008933870121836662	0.027664488181471825
website	hope	14	0.00776758324354887	0.04007706791162491
website	aggression	14	0.006767874117940664	0.03370648995041847
website	exhaustion	14	-0.003564598737284541	0.05696874111890793
