model	n_rows	n_prompts	point_face_gain	boot_mean	boot_std	boot_lo95	boot_hi95	sub30_mean	sub30_std	sub60_mean	sub60_std	sub90_mean	sub90_std	sub120_mean	sub120_std
gemma	960	120	-0.01298	-0.00038	0.01577	-0.03074	0.02866	0.01163	0.02811	0.00409	0.01315	-0.00825	0.00740	-0.00234	0.01327
qwen	949	120	-0.03631	-0.02046	0.01048	-0.04166	-0.00087	-0.00659	0.02115	-0.01407	0.01283	-0.02937	0.00677	-0.02152	0.01323
ministral	900	120	-0.16798	-0.16483	0.02282	-0.20661	-0.12377	-0.18382	0.04057	-0.15923	0.02762	-0.16725	0.01579	-0.15835	0.02210
