layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.1330893635749817	0.06552629917860031	-0.10122482478618622	0.18224161348383933	0.04813522821660934
3	0.13722513616085052	0.06632034480571747	-0.027523579075932503	0.23187980271921507	0.1494342040446284
4	0.15424934029579163	0.08758353441953659	0.07668504863977432	0.3272048439625596	0.2729192861906866
5	0.1411750465631485	0.0939582884311676	0.1087944507598877	0.5033201205371339	0.4298368111177417
6	0.14398783445358276	0.09777291864156723	0.1059550791978836	0.648850289167594	0.5558952027244659
7	0.13160157203674316	0.09803910553455353	0.12892349064350128	0.8069887227069041	0.7358203977918768
8	0.1267542541027069	0.09979018568992615	0.15152259171009064	0.9775730747079503	0.8947297773893381
9	0.146731898188591	0.09241998940706253	0.21986138820648193	1.5511460586855852	1.213573077104586
10	0.1725221872329712	0.09788407385349274	0.23743832111358643	1.8416294996226976	1.3962882642170418
11	0.1659269779920578	0.09687095135450363	0.24739719927310944	2.029573525204339	1.5780173997090543
12	0.16701067984104156	0.10026755183935165	0.2584671080112457	2.152888724913685	1.6734194940181606
13	0.16810940206050873	0.10345228761434555	0.26005175709724426	2.3046079727098387	1.8293608595983135
14	0.16796360909938812	0.10181227326393127	0.24206975102424622	2.376177275203519	1.8398772867273825
15	0.167629674077034	0.10484550893306732	0.2165779173374176	2.450240614942214	1.9112681235083007
16	0.16676588356494904	0.10506349802017212	0.2327377200126648	2.7320983334836555	2.126701194048774
17	0.18259486556053162	0.10751569271087646	0.23583053052425385	3.0424759058257145	2.242577268983662
18	0.20410890877246857	0.10948482900857925	0.19693562388420105	3.244656100019538	2.231586982806402
19	0.2247963398694992	0.10897517949342728	0.1858888417482376	3.5626743784901196	2.3451856524972605
20	0.21900202333927155	0.15133510529994965	0.14609117805957794	3.9841209680140937	3.3182208693754727
21	0.22490021586418152	0.15663428604602814	0.12628301978111267	4.110111689451658	3.4442471069552134
22	0.22423401474952698	0.16218680143356323	0.105717234313488	4.225169726341239	3.5603182949725056
23	0.22795812785625458	0.16957955062389374	0.092674121260643	4.477936185760612	3.6527178033330587
24	0.23536063730716705	0.16728761792182922	0.08939288556575775	4.7686005824331295	3.736869894139824
25	0.23281633853912354	0.1571952849626541	0.0867079347372055	5.089479978776313	3.663287143863728
26	0.23038506507873535	0.16780290007591248	0.08709569275379181	5.441891770540595	4.18481143839948
27	0.23040379583835602	0.16331036388874054	0.08515011519193649	5.907288834142979	4.479940049150905
28	0.2256021797657013	0.1616586148738861	0.0841880813241005	6.210021127112798	4.6956389493557875
29	0.2324206680059433	0.1609407514333725	0.08082765340805054	6.793229461229959	5.127971074115312
30	0.23486438393592834	0.15635044872760773	0.0787254199385643	7.286524247945051	5.311311776148451
31	0.2375754565000534	0.15334174036979675	0.07812649756669998	7.77714383103895	5.7237601108040685
32	0.23510004580020905	0.14999791979789734	0.07744104415178299	8.244169070745226	6.041219130500873
33	0.23475013673305511	0.14843174815177917	0.07826882600784302	8.62051311173041	6.252566599390014
34	0.23542413115501404	0.14538022875785828	0.07577680796384811	9.14113735567464	6.4450045743574425
35	0.21971698105335236	0.14514705538749695	0.07692740857601166	9.664041201319135	6.761661780951154
36	0.21572519838809967	0.14216695725917816	0.07744776457548141	10.5085737439879	7.263676548785159
37	0.21063444018363953	0.1406857669353485	0.07097150385379791	11.53657052942061	7.827518681321999
