component	explained_variance_pct	t0_happy.sad_r	tlast_happy.sad_r	t0_angry.calm_r	tlast_angry.calm_r	t0_confident.uncertain_r	tlast_confident.uncertain_r	t0_warm.clinical_r	tlast_warm.clinical_r	t0_humorous.serious_r	tlast_humorous.serious_r	t0_creative.conventional_r	tlast_creative.conventional_r	t0_curious.disinterested_r	tlast_curious.disinterested_r	t0_direct.indirect_r	tlast_direct.indirect_r	t0_disgusted.accepting_r	tlast_disgusted.accepting_r	t0_fearful.unflinching_r	tlast_fearful.unflinching_r	t0_formal.casual_r	tlast_formal.casual_r	t0_hallucinating.grounded_r	tlast_hallucinating.grounded_r	t0_honest.deceptive_r	tlast_honest.deceptive_r	t0_powerful.powerless_r	tlast_powerful.powerless_r	t0_surprised.unsurprised_r	tlast_surprised.unsurprised_r	t0_technical.accessible_r	tlast_technical.accessible_r	t0_verbose.concise_r	tlast_verbose.concise_r
PC1	31.400341033935547	0.8295148936304426	0.4895990994146674	0.18907426963120794	0.3281625591367825	0.7142615644561525	-0.06616836452234381	-0.0404969130197005	0.13637814241430044	0.8373930382560469	0.5552668724282313	0.6870981209362399	0.3239925335575828	-0.5923050321405555	-0.1300183500890626	-0.5724996885334357	-0.004306259275408697	-0.7596156700909089	0.26680931109843364	-0.6300162493437012	0.14253335476515802	-0.767698663808762	-0.276582778056161	0.5171261292830236	0.4364601551113422	-0.9551871066505333	-0.49366041865468346	0.8988692833725705	-0.040382055933602896	-0.8540302618308334	0.3284526849014078	-0.43388959898466023	-0.006628834110576062	-0.8721596896238402	0.04087969538127053
PC2	9.610405921936035	0.38723820269242054	0.34102665161504486	0.041277948326981666	-0.08132248134832987	0.4501174148035878	0.0720052459454888	0.6690701532819171	0.25276571933142444	-0.11343320094315482	0.06814442694316797	0.19636621676138377	0.2053531855006227	0.10009003550730945	0.0037740146728891845	0.3289903430014567	-0.07065581779614871	0.13410442304240897	0.0972018268866554	-0.39081979740606365	-0.16945751931280406	0.21385956647802423	-0.045758788656871774	0.23097134507660433	0.19004449519725575	-0.14197411568051216	-0.16577191424808307	0.1870355035721308	0.05941872047577416	0.15781049974048628	0.1362214417340331	0.003381947553807456	0.012448522201494153	0.1191530989093636	0.13550146709780023
PC3	7.03754997253418	0.233604820685914	0.06148068573702888	0.5232992592025343	0.1764482580736737	0.3784887856713647	0.14466168579172828	-0.44221850658363826	-0.15141446777470952	-0.0235772338217181	-0.045276846603768385	-0.2877489085346762	-0.08787169959304955	0.4018331866517325	0.038585726039182366	0.46246770910289703	0.12162906572091436	0.12490451384647108	0.09495134946034564	-0.21759686065482253	-0.17204371870874152	0.09985980333087123	0.04071325478971222	-0.053734687862367105	-0.07273164307897678	-0.010732455005199582	-0.009315147974422264	0.16491102508578442	0.22802613042548076	0.19431731778514122	-0.08667931171291818	0.37565018687346696	0.03271941171426558	0.09501416421200606	-0.0891737746131023
PC4	5.117923736572266	0.23543783460270654	0.28869160750672296	-0.6958332949507697	-0.17489371017230915	0.11439338080710212	-0.14558999436244768	0.13714629530474035	0.25918744857432796	-0.29614301566392875	0.1201859151179783	-0.27427547294737487	0.10760420553574554	0.2920041797890813	0.15114601660665195	-0.36104515403645665	-0.22674924402801214	-0.5239079341283138	-0.2035493864627596	-0.428786867609918	-0.06122456801245469	0.1970715124179626	-0.09330333267509595	-0.5536387905199364	0.03516908700512818	0.062273599825257674	-0.1288419672761314	0.2174676281021185	-0.03533454006414059	-0.33501805503950727	0.06478424835949961	0.13770850431001247	-0.019347336502821978	0.028789754294091377	0.21574211133217447
PC5	3.835899829864502	-0.06566154137585306	-0.09311751575910755	0.17831398618569724	0.015700506894960033	-0.1813995796669051	-0.02101434236625254	0.1923064772178505	0.069220058762176	0.3086549610980376	0.06016284385311915	0.39243892096903066	0.18429592858587007	-0.21902726834950548	-0.16901202797590892	-0.20857394145101826	-0.062171362732732965	-0.034399125064411375	-0.037478429380454675	0.23040985764316047	0.14855720726649616	-0.3535980779046235	-0.13458832058966821	0.3651987011571958	0.13687724710182242	-0.10270046607051447	-0.059280551105611104	-0.11854892689692609	-0.026512454077413636	-0.09168601128075828	-0.09426822382880537	-0.3803816463957994	-0.10509326961893356	-0.07127787370802824	-0.04225098411280471
PC6	3.3723220825195312	-0.016379664411692925	0.003552480746118216	0.21194823740436303	0.04347529112506786	0.06079882867307224	-0.05007168367540103	-0.08080367929061642	0.03872624101524309	0.13102278403430456	0.059361115130565835	0.16274320763529074	0.08020806717322779	0.10717477316117117	-0.03015184374717487	0.06378792298055544	-0.05332936768072913	0.17775354048670733	0.023760956494083545	0.001989040187334333	-0.06779285582469446	0.05602700118700058	-0.0009521196171975617	0.2173230408206317	0.05822207825481969	-0.04067353100755143	-0.02616230926699891	-0.09301392492517523	-0.10518012095479265	-0.024130918038645376	0.028178032927438392	0.08659848544768077	0.030504264544982406	0.12631670139087284	0.04109802628855044
PC7	2.4948880672454834	-0.04413371734096688	-0.02238552121399595	0.07650951241245034	-0.04061652369536228	-0.06788285821207557	-0.0013595304171396035	0.026639248672219274	-0.004357306534160511	-0.012247726791173967	-0.04969267107645964	0.022869906153325945	-0.011587273715684361	0.27928058623105395	0.06837581701065096	-0.03541794387017763	-0.02546493573660227	-0.03843153324497016	-0.08768261123744468	0.0014523507807707534	-0.06519148364441921	0.0629730471247286	0.036770355944537314	-0.1412314837259592	-0.09074622883612404	0.054852040428097854	0.07360504471099015	-0.07539692636188411	-0.038080010628620944	-0.017302025107696087	-0.07025225365874388	0.1382493121287898	0.04689300089927101	-0.08826459345400235	0.03838520156929905
PC8	2.011403799057007	0.00822844523919539	-0.1042437845640378	-0.014455460137008403	0.05761000534428603	-0.01833163401572359	0.003604424766960719	0.02685252221765728	-0.0024639800010588797	0.008089501736199801	-0.019708440562938315	0.05809710979407046	0.07721538598558157	-0.005019456279622024	0.03360105938577115	-0.062239938711049304	-0.006477797738200924	-0.01871489272125107	-0.012036945064611393	-0.1272952530277811	-0.023409970537065235	0.030997666872348142	-0.007937427638294093	0.12349028202224746	0.05790313919946322	-0.05720146321609664	0.03836919493216653	0.018816349237350365	0.00183656657769893	0.0045618656168298745	-0.024235469078493374	0.22121461756262206	-0.016879804231629457	0.12376719111538803	0.009846602017590605
